year;county;domestic_background;gender;exam_score
2016;Harjumaa;Estonian;Male;49
2016;Harjumaa;Estonian;Female;41
2016;Järvamaa;Estonian;Male;40
2016;Harjumaa;Estonian;Female;24
2016;Ida-Virumaa;Estonian;Male;45
2016;Valgamaa;Estonian;Female;36
2016;Saaremaa;Estonian;Male;43
2016;Tartumaa;Estonian;Female;45
2016;Pärnumaa;Estonian;Female;42
2016;Ida-Virumaa;Russian;Female;39
2016;Harjumaa;Russian;Male;37
2016;Võrumaa;Estonian;Male;43
2016;Harjumaa;Estonian;Male;20
2016;Tartumaa;Estonian;Male;46
2016;Harjumaa;Estonian;Female;42
2016;Järvamaa;Estonian;Male;10
2016;Järvamaa;Estonian;Female;45
2016;Saaremaa;Estonian;Male;47
2016;Lääne-Virumaa;Estonian;Male;45
2016;Viljandimaa;Estonian;Male;43
2016;Harjumaa;Russian;Female;34
2016;Võrumaa;Estonian;Male;24
2016;Harjumaa;Estonian;Male;42
2016;Põlvamaa;Estonian;Female;35
2016;Ida-Virumaa;Russian;Male;37
2016;Võrumaa;Estonian;Male;37
2016;Lääne-Virumaa;Estonian;Male;23
2016;Harjumaa;Estonian;Female;45
2016;Harjumaa;Estonian;Male;32
2016;Jõgevamaa;Russian;Male;35
2016;Harjumaa;Russian;Male;35
2016;Harjumaa;Estonian;Female;37
2016;Põlvamaa;Estonian;Female;40
2016;Harjumaa;Russian;Male;48
2016;Läänemaa;Estonian;Female;34
2016;Harjumaa;Estonian;Male;40
2016;Tartumaa;Estonian;Male;36
2016;Pärnumaa;Estonian;Female;37
2016;Valgamaa;Estonian;Female;35
2016;Raplamaa;Estonian;Male;36
2016;Harjumaa;Russian;Female;42
2016;Harjumaa;Estonian;Female;36
2016;Tartumaa;Estonian;Male;44
2016;Viljandimaa;Estonian;Male;32
2016;Harjumaa;Estonian;Male;37
2016;Harjumaa;Estonian;Female;34
2016;Harjumaa;Estonian;Male;23
2016;Harjumaa;Estonian;Male;34
2016;Ida-Virumaa;Russian;Female;40
2016;Harjumaa;Estonian;Female;30
2016;Ida-Virumaa;Estonian;Female;45
2016;Lääne-Virumaa;Estonian;Male;18
2016;Harjumaa;Estonian;Female;33
2016;Pärnumaa;Estonian;Female;27
2016;Tartumaa;Estonian;Female;47
2016;Läänemaa;Estonian;Female;48
2016;Harjumaa;Russian;Male;42
2016;Raplamaa;Estonian;Female;41
2016;Harjumaa;Estonian;Female;46
2016;Harjumaa;Estonian;Male;31
2016;Harjumaa;Estonian;Male;20
2016;Harjumaa;Estonian;Male;27
2016;Saaremaa;Estonian;Male;38
2016;Valgamaa;Russian;Male;22
2016;Harjumaa;Estonian;Male;45
2016;Harjumaa;Russian;Female;37
2016;Saaremaa;Estonian;Male;30
2016;Võrumaa;Estonian;Male;33
2016;Ida-Virumaa;Estonian;Male;38
2016;Lääne-Virumaa;Estonian;Female;44
2016;Tartumaa;Estonian;Male;33
2016;Viljandimaa;Estonian;Male;46
2016;Lääne-Virumaa;Estonian;Female;38
2016;Läänemaa;Estonian;Male;34
2016;Lääne-Virumaa;Estonian;Male;23
2016;Saaremaa;Estonian;Male;40
2016;Harjumaa;Russian;Female;45
2016;Tartumaa;Estonian;Female;35
2016;Harjumaa;Russian;Female;34
2016;Harjumaa;Russian;Male;27
2016;Tartumaa;Estonian;Male;28
2016;Harjumaa;Russian;Female;33
2016;Saaremaa;Estonian;Female;44
2016;Tartumaa;Estonian;Male;45
2016;Võrumaa;Estonian;Female;42
2016;Harjumaa;Russian;Female;37
2016;Harjumaa;Estonian;Female;46
2016;Harjumaa;Russian;Male;37
2016;Võrumaa;Estonian;Female;44
2016;Harjumaa;Russian;Male;22
2016;Võrumaa;Estonian;Male;31
2016;Ida-Virumaa;Russian;Male;44
2016;Harjumaa;Estonian;Male;22
2016;Harjumaa;Russian;Female;38
2016;Harjumaa;Estonian;Male;33
2016;Harjumaa;Estonian;Male;41
2016;Pärnumaa;Estonian;Female;39
2016;Pärnumaa;Estonian;Male;32
2016;Pärnumaa;Estonian;Male;35
2016;Ida-Virumaa;Russian;Male;26
2016;Põlvamaa;Estonian;Female;37
2016;Harjumaa;Estonian;Female;23
2016;Hiiumaa;Estonian;Female;25
2016;Tartumaa;Estonian;Female;45
2016;Harjumaa;Estonian;Female;41
2016;Harjumaa;Estonian;Female;38
2016;Viljandimaa;Estonian;Male;20
2016;Harjumaa;Estonian;Female;32
2016;Võrumaa;Estonian;Female;33
2016;Lääne-Virumaa;Russian;Male;17
2016;Harjumaa;Russian;Male;42
2016;Harjumaa;Estonian;Female;32
2016;Harjumaa;Estonian;Female;42
2016;Harjumaa;Estonian;Male;16
2016;Harjumaa;Estonian;Female;44
2016;Harjumaa;Estonian;Male;36
2016;Võrumaa;Estonian;Female;28
2016;Ida-Virumaa;Russian;Male;38
2016;Harjumaa;Russian;Female;18
2016;Harjumaa;Estonian;Female;33
2016;Ida-Virumaa;Russian;Female;41
2016;Harjumaa;Estonian;Female;32
2016;Pärnumaa;Estonian;Male;33
2016;Harjumaa;Russian;Female;31
2016;Raplamaa;Estonian;Female;37
2016;Raplamaa;Estonian;Male;23
2016;Valgamaa;Russian;Female;32
2016;Harjumaa;Russian;Female;43
2016;Raplamaa;Estonian;Male;29
2016;Harjumaa;Estonian;Male;45
2016;Harjumaa;Russian;Female;47
2016;Tartumaa;Estonian;Male;46
2016;Harjumaa;Estonian;Male;39
2016;Harjumaa;Russian;Male;39
2016;Harjumaa;Estonian;Female;43
2016;Viljandimaa;Estonian;Male;45
2016;Tartumaa;Estonian;Male;37
2016;Harjumaa;Estonian;Male;42
2016;Saaremaa;Estonian;Male;38
2016;Harjumaa;Estonian;Male;37
2016;Harjumaa;Estonian;Female;38
2016;Harjumaa;Estonian;Female;37
2016;Harjumaa;Estonian;Female;39
2016;Harjumaa;Estonian;Female;40
2016;Lääne-Virumaa;Estonian;Female;30
2016;Ida-Virumaa;Russian;Male;43
2016;Tartumaa;Estonian;Male;46
2016;Harjumaa;Estonian;Male;21
2016;Viljandimaa;Estonian;Female;47
2016;Harjumaa;Estonian;Female;48
2016;Võrumaa;Estonian;Male;40
2016;Tartumaa;Estonian;Female;34
2016;Harjumaa;Russian;Female;43
2016;Järvamaa;Estonian;Male;32
2016;Harjumaa;Estonian;Female;19
2016;Harjumaa;Russian;Male;39
2016;Pärnumaa;Estonian;Female;48
2016;Harjumaa;Estonian;Female;45
2016;Tartumaa;Estonian;Male;32
2016;Läänemaa;Estonian;Male;29
2016;Harjumaa;Estonian;Male;37
2016;Saaremaa;Estonian;Female;39
2016;Harjumaa;Estonian;Female;45
2016;Valgamaa;Russian;Male;27
2016;Harjumaa;Russian;Male;34
2016;Harjumaa;Estonian;Male;44
2016;Harjumaa;Estonian;Male;35
2016;Ida-Virumaa;Estonian;Female;41
2016;Ida-Virumaa;Estonian;Male;32
2016;Harjumaa;Russian;Male;42
2016;Harjumaa;Russian;Male;26
2016;Tartumaa;Estonian;Male;45
2016;Tartumaa;Estonian;Male;16
2016;Harjumaa;Estonian;Male;35
2016;Tartumaa;Estonian;Male;35
2016;Tartumaa;Estonian;Male;33
2016;Harjumaa;Russian;Male;46
2016;Tartumaa;Estonian;Male;47
2016;Pärnumaa;Estonian;Female;29
2016;Harjumaa;Russian;Male;38
2016;Harjumaa;Estonian;Male;9
2016;Harjumaa;Estonian;Female;44
2016;Harjumaa;Estonian;Male;30
2016;Ida-Virumaa;Estonian;Male;42
2016;Viljandimaa;Estonian;Male;35
2016;Harjumaa;Estonian;Male;33
2016;Harjumaa;Estonian;Female;31
2016;Harjumaa;Russian;Female;39
2016;Harjumaa;Estonian;Female;30
2016;Saaremaa;Estonian;Female;41
2016;Ida-Virumaa;Russian;Female;27
2016;Harjumaa;Estonian;Female;32
2016;Harjumaa;Estonian;Female;44
2016;Viljandimaa;Russian;Female;41
2016;Harjumaa;Russian;Female;40
2016;Pärnumaa;Estonian;Male;32
2016;Valgamaa;Russian;Male;41
2016;Ida-Virumaa;Russian;Female;40
2016;Tartumaa;Estonian;Male;44
2016;Valgamaa;Estonian;Male;36
2016;Võrumaa;Estonian;Male;33
2016;Tartumaa;Estonian;Female;38
2016;Pärnumaa;Estonian;Male;41
2016;Harjumaa;Estonian;Female;45
2016;Võrumaa;Estonian;Male;46
2016;Viljandimaa;Estonian;Male;35
2016;Võrumaa;Estonian;Female;41
2016;Ida-Virumaa;Estonian;Female;40
2016;Harjumaa;Estonian;Female;41
2016;Tartumaa;Russian;Female;40
2016;Võrumaa;Estonian;Female;29
2016;Harjumaa;Estonian;Female;39
2016;Viljandimaa;Estonian;Male;45
2016;Harjumaa;Estonian;Female;37
2016;Tartumaa;Estonian;Male;48
2016;Pärnumaa;Estonian;Female;40
2016;Pärnumaa;Estonian;Female;17
2016;Viljandimaa;Estonian;Male;34
2016;Ida-Virumaa;Estonian;Female;30
2016;Tartumaa;Russian;Male;29
2016;Pärnumaa;Estonian;Male;23
2016;Jõgevamaa;Estonian;Male;37
2016;Harjumaa;Russian;Male;24
2016;Harjumaa;Estonian;Female;40
2016;Viljandimaa;Estonian;Male;39
2016;Valgamaa;Estonian;Female;47
2016;Jõgevamaa;Estonian;Male;32
2016;Raplamaa;Estonian;Female;45
2016;Tartumaa;Estonian;Female;33
2016;Harjumaa;Russian;Female;39
2016;Tartumaa;Estonian;Male;40
2016;Pärnumaa;Estonian;Male;44
2016;Viljandimaa;Estonian;Female;38
2016;Pärnumaa;Estonian;Male;46
2016;Ida-Virumaa;Russian;Female;48
2016;Läänemaa;Estonian;Male;28
2016;Harjumaa;Estonian;Female;37
2016;Raplamaa;Estonian;Male;29
2016;Lääne-Virumaa;Estonian;Male;36
2016;Harjumaa;Estonian;Female;42
2016;Harjumaa;Russian;Female;39
2016;Harjumaa;Estonian;Male;41
2016;Harjumaa;Estonian;Female;40
2016;Harjumaa;Estonian;Female;40
2016;Harjumaa;Estonian;Female;40
2016;Harjumaa;Estonian;Male;46
2016;Harjumaa;Estonian;Female;40
2016;Võrumaa;Estonian;Female;37
2016;Valgamaa;Estonian;Male;21
2016;Ida-Virumaa;Russian;Male;39
2016;Harjumaa;Estonian;Male;44
2016;Harjumaa;Russian;Male;45
2016;Saaremaa;Estonian;Female;20
2016;Harjumaa;Estonian;Female;30
2016;Saaremaa;Estonian;Female;31
2016;Lääne-Virumaa;Russian;Female;25
2016;Läänemaa;Estonian;Female;34
2016;Harjumaa;Russian;Male;37
2016;Harjumaa;Russian;Male;29
2016;Tartumaa;Estonian;Male;25
2016;Harjumaa;Estonian;Female;35
2016;Harjumaa;Estonian;Male;49
2016;Ida-Virumaa;Russian;Female;35
2016;Harjumaa;Russian;Male;31
2016;Tartumaa;Russian;Male;41
2016;Tartumaa;Estonian;Male;46
2016;Harjumaa;Estonian;Female;19
2016;Hiiumaa;Estonian;Male;27
2016;Tartumaa;Russian;Male;36
2016;Valgamaa;Estonian;Male;38
2016;Harjumaa;Estonian;Male;27
2016;Harjumaa;Estonian;Male;44
2016;Harjumaa;Estonian;Female;27
2016;Võrumaa;Estonian;Female;44
2016;Harjumaa;Estonian;Male;48
2016;Harjumaa;Estonian;Male;42
2016;Jõgevamaa;Estonian;Male;42
2016;Tartumaa;Estonian;Male;30
2016;Harjumaa;Russian;Female;43
2016;Harjumaa;Russian;Female;30
2016;Harjumaa;Estonian;Female;36
2016;Tartumaa;Estonian;Female;44
2016;Tartumaa;Russian;Female;33
2016;Tartumaa;Estonian;Female;41
2016;Harjumaa;Russian;Male;34
2016;Raplamaa;Estonian;Female;43
2016;Harjumaa;Russian;Male;40
2016;Tartumaa;Russian;Male;30
2016;Võrumaa;Estonian;Female;35
2016;Lääne-Virumaa;Estonian;Female;25
2016;Järvamaa;Estonian;Female;43
2016;Harjumaa;Russian;Female;49
2016;Harjumaa;Russian;Male;27
2016;Valgamaa;Estonian;Male;25
2016;Viljandimaa;Estonian;Male;35
2016;Harjumaa;Estonian;Female;37
2016;Harjumaa;Russian;Female;45
2016;Harjumaa;Estonian;Male;17
2016;Harjumaa;Estonian;Male;28
2016;Harjumaa;Estonian;Female;37
2016;Jõgevamaa;Estonian;Male;46
2016;Harjumaa;Russian;Male;35
2016;Tartumaa;Estonian;Male;47
2016;Ida-Virumaa;Russian;Female;48
2016;Harjumaa;Estonian;Male;30
2016;Harjumaa;Estonian;Female;42
2016;Harjumaa;Estonian;Male;39
2016;Tartumaa;Estonian;Female;30
2016;Harjumaa;Estonian;Male;41
2016;Harjumaa;Estonian;Male;23
2016;Harjumaa;Estonian;Male;35
2016;Lääne-Virumaa;Estonian;Male;47
2016;Tartumaa;Estonian;Female;34
2016;Ida-Virumaa;Estonian;Female;42
2016;Ida-Virumaa;Estonian;Female;45
2016;Harjumaa;Russian;Female;42
2016;Võrumaa;Estonian;Female;41
2016;Pärnumaa;Estonian;Female;21
2016;Harjumaa;Estonian;Male;36
2016;Läänemaa;Estonian;Male;21
2016;Põlvamaa;Estonian;Female;29
2016;Lääne-Virumaa;Estonian;Male;30
2016;Harjumaa;Estonian;Female;42
2016;Tartumaa;Estonian;Female;43
2016;Harjumaa;Estonian;Female;35
2016;Pärnumaa;Estonian;Female;38
2016;Harjumaa;Estonian;Female;34
2016;Harjumaa;Estonian;Male;37
2016;Harjumaa;Estonian;Male;42
2016;Harjumaa;Estonian;Female;31
2016;Harjumaa;Russian;Female;39
2016;Harjumaa;Russian;Female;29
2016;Jõgevamaa;Estonian;Male;35
2016;Viljandimaa;Estonian;Male;46
2016;Harjumaa;Estonian;Male;36
2016;Harjumaa;Estonian;Male;30
2016;Harjumaa;Russian;Female;37
2016;Harjumaa;Estonian;Female;34
2016;Harjumaa;Estonian;Female;45
2016;Ida-Virumaa;Russian;Male;26
2016;Harjumaa;Estonian;Female;38
2016;Raplamaa;Estonian;Female;43
2016;Harjumaa;Estonian;Female;36
2016;Jõgevamaa;Estonian;Female;45
2016;Harjumaa;Estonian;Male;35
2016;Harjumaa;Estonian;Male;44
2016;Tartumaa;Estonian;Male;40
2016;Harjumaa;Estonian;Female;45
2016;Harjumaa;Estonian;Female;16
2016;Ida-Virumaa;Russian;Male;33
2016;Harjumaa;Estonian;Male;43
2016;Harjumaa;Estonian;Female;39
2016;Saaremaa;Estonian;Female;44
2016;Tartumaa;Estonian;Female;39
2016;Ida-Virumaa;Russian;Male;18
2016;Põlvamaa;Estonian;Female;45
2016;Pärnumaa;Estonian;Female;31
2016;Võrumaa;Estonian;Male;20
2016;Harjumaa;Estonian;Female;40
2016;Raplamaa;Estonian;Male;33
2016;Läänemaa;Estonian;Male;41
2016;Harjumaa;Russian;Male;27
2016;Ida-Virumaa;Estonian;Female;39
2016;Ida-Virumaa;Estonian;Female;38
2016;Saaremaa;Estonian;Male;36
2016;Ida-Virumaa;Estonian;Female;43
2016;Harjumaa;Russian;Male;36
2016;Harjumaa;Estonian;Male;32
2016;Harjumaa;Estonian;Male;30
2016;Harjumaa;Russian;Female;49
2016;Ida-Virumaa;Russian;Female;19
2016;Harjumaa;Russian;Male;38
2016;Harjumaa;Estonian;Male;46
2016;Tartumaa;Estonian;Female;33
2016;Raplamaa;Estonian;Male;41
2016;Pärnumaa;Estonian;Male;42
2016;Harjumaa;Estonian;Female;48
2016;Pärnumaa;Estonian;Male;25
2016;Harjumaa;Estonian;Female;31
2016;Harjumaa;Estonian;Male;32
2016;Harjumaa;Estonian;Male;19
2016;Põlvamaa;Estonian;Male;29
2016;Harjumaa;Estonian;Female;44
2016;Harjumaa;Estonian;Female;41
2016;Harjumaa;Russian;Male;32
2016;Tartumaa;Estonian;Male;40
2016;Valgamaa;Estonian;Female;42
2016;Harjumaa;Estonian;Female;33
2016;Valgamaa;Estonian;Male;26
2016;Pärnumaa;Estonian;Male;48
2016;Harjumaa;Estonian;Female;35
2016;Harjumaa;Russian;Male;47
2016;Harjumaa;Estonian;Female;38
2016;Võrumaa;Estonian;Male;19
2016;Harjumaa;Estonian;Male;43
2016;Harjumaa;Russian;Male;33
2016;Pärnumaa;Estonian;Female;38
2016;Läänemaa;Estonian;Male;39
2016;Harjumaa;Estonian;Female;40
2016;Tartumaa;Estonian;Female;39
2016;Harjumaa;Estonian;Male;21
2016;Põlvamaa;Estonian;Female;42
2016;Harjumaa;Estonian;Female;44
2016;Ida-Virumaa;Estonian;Male;42
2016;Harjumaa;Estonian;Female;37
2016;Pärnumaa;Estonian;Female;39
2016;Raplamaa;Estonian;Male;47
2016;Harjumaa;Estonian;Female;39
2016;Harjumaa;Estonian;Female;35
2016;Tartumaa;Estonian;Male;24
2016;Läänemaa;Estonian;Female;34
2016;Ida-Virumaa;Estonian;Female;42
2016;Viljandimaa;Estonian;Male;21
2016;Pärnumaa;Estonian;Female;38
2016;Harjumaa;Estonian;Female;41
2016;Ida-Virumaa;Estonian;Male;25
2016;Harjumaa;Estonian;Female;40
2016;Ida-Virumaa;Russian;Male;26
2016;Harjumaa;Russian;Male;41
2016;Lääne-Virumaa;Estonian;Female;40
2016;Harjumaa;Russian;Female;23
2016;Harjumaa;Estonian;Female;41
2016;Tartumaa;Estonian;Female;46
2016;Harjumaa;Estonian;Female;37
2016;Harjumaa;Estonian;Female;35
2016;Ida-Virumaa;Russian;Male;43
2016;Jõgevamaa;Estonian;Female;35
2016;Harjumaa;Estonian;Male;21
2016;Pärnumaa;Estonian;Male;22
2016;Harjumaa;Estonian;Male;17
2016;Harjumaa;Estonian;Male;30
2016;Harjumaa;Estonian;Male;7
2016;Harjumaa;Estonian;Male;21
2016;Harjumaa;Estonian;Female;40
2016;Ida-Virumaa;Russian;Female;40
2016;Pärnumaa;Estonian;Female;43
2016;Harjumaa;Russian;Female;39
2016;Harjumaa;Estonian;Male;21
2016;Viljandimaa;Estonian;Male;38
2016;Järvamaa;Estonian;Male;40
2016;Harjumaa;Estonian;Male;40
2016;Lääne-Virumaa;Estonian;Female;42
2016;Viljandimaa;Estonian;Female;37
2016;Põlvamaa;Estonian;Female;44
2016;Saaremaa;Estonian;Female;42
2016;Harjumaa;Estonian;Male;36
2016;Tartumaa;Estonian;Male;32
2016;Ida-Virumaa;Estonian;Female;43
2016;Tartumaa;Estonian;Male;33
2016;Jõgevamaa;Estonian;Female;29
2016;Pärnumaa;Estonian;Female;34
2016;Ida-Virumaa;Estonian;Female;28
2016;Harjumaa;Russian;Female;42
2016;Saaremaa;Estonian;Male;38
2016;Tartumaa;Estonian;Female;42
2016;Pärnumaa;Estonian;Male;39
2016;Järvamaa;Estonian;Male;36
2016;Tartumaa;Estonian;Male;39
2016;Põlvamaa;Estonian;Female;47
2016;Harjumaa;Russian;Female;38
2016;Harjumaa;Estonian;Female;40
2016;Järvamaa;Estonian;Female;29
2016;Harjumaa;Russian;Male;42
2016;Harjumaa;Estonian;Female;37
2016;Põlvamaa;Estonian;Female;26
2016;Läänemaa;Estonian;Female;17
2016;Harjumaa;Estonian;Male;21
2016;Harjumaa;Estonian;Female;45
2016;Harjumaa;Estonian;Female;34
2016;Valgamaa;Estonian;Female;20
2016;Harjumaa;Estonian;Male;25
2016;Ida-Virumaa;Russian;Female;30
2016;Pärnumaa;Estonian;Male;35
2016;Lääne-Virumaa;Estonian;Male;41
2016;Pärnumaa;Estonian;Female;41
2016;Lääne-Virumaa;Estonian;Male;48
2016;Tartumaa;Russian;Male;39
2016;Ida-Virumaa;Estonian;Male;43
2016;Saaremaa;Estonian;Female;38
2016;Harjumaa;Russian;Male;30
2016;Harjumaa;Estonian;Male;31
2016;Harjumaa;Russian;Female;31
2016;Viljandimaa;Estonian;Male;32
2016;Järvamaa;Estonian;Male;31
2016;Harjumaa;Estonian;Female;45
2016;Harjumaa;Estonian;Female;40
2016;Harjumaa;Estonian;Male;31
2016;Harjumaa;Estonian;Female;43
2016;Põlvamaa;Estonian;Male;30
2016;Harjumaa;Estonian;Male;27
2016;Järvamaa;Estonian;Female;36
2016;Harjumaa;Estonian;Male;44
2016;Tartumaa;Estonian;Female;46
2016;Hiiumaa;Estonian;Female;42
2016;Harjumaa;Estonian;Female;45
2016;Ida-Virumaa;Russian;Female;40
2016;Ida-Virumaa;Russian;Male;34
2016;Tartumaa;Estonian;Female;45
2016;Harjumaa;Russian;Female;44
2016;Ida-Virumaa;Russian;Male;40
2016;Harjumaa;Estonian;Female;41
2016;Tartumaa;Estonian;Female;43
2016;Lääne-Virumaa;Estonian;Female;41
2016;Järvamaa;Estonian;Male;36
2016;Harjumaa;Estonian;Female;36
2016;Saaremaa;Estonian;Male;39
2016;Harjumaa;Estonian;Female;29
2016;Pärnumaa;Estonian;Male;26
2016;Harjumaa;Estonian;Male;47
2016;Läänemaa;Estonian;Male;27
2016;Harjumaa;Russian;Female;44
2016;Tartumaa;Estonian;Male;30
2016;Harjumaa;Estonian;Male;43
2016;Tartumaa;Estonian;Female;39
2016;Harjumaa;Estonian;Female;25
2016;Järvamaa;Estonian;Male;35
2016;Harjumaa;Russian;Male;29
2016;Harjumaa;Estonian;Male;40
2016;Raplamaa;Estonian;Male;47
2016;Tartumaa;Estonian;Male;40
2016;Ida-Virumaa;Russian;Male;43
2016;Harjumaa;Estonian;Male;33
2016;Viljandimaa;Estonian;Female;45
2016;Harjumaa;Estonian;Male;31
2016;Tartumaa;Estonian;Female;38
2016;Harjumaa;Estonian;Female;31
2016;Harjumaa;Estonian;Male;32
2016;Jõgevamaa;Estonian;Female;45
2016;Ida-Virumaa;Russian;Male;33
2016;Harjumaa;Estonian;Male;15
2016;Ida-Virumaa;Russian;Female;43
2016;Harjumaa;Estonian;Male;35
2016;Ida-Virumaa;Estonian;Male;36
2016;Harjumaa;Estonian;Female;39
2016;Ida-Virumaa;Russian;Male;43
2016;Harjumaa;Estonian;Male;24
2016;Harjumaa;Russian;Male;35
2016;Harjumaa;Estonian;Male;41
2016;Lääne-Virumaa;Estonian;Male;15
2016;Ida-Virumaa;Russian;Male;44
2016;Pärnumaa;Estonian;Female;31
2016;Võrumaa;Estonian;Female;37
2016;Harjumaa;Estonian;Female;26
2016;Harjumaa;Estonian;Male;20
2016;Harjumaa;Russian;Female;40
2016;Võrumaa;Estonian;Female;27
2016;Ida-Virumaa;Russian;Male;34
2016;Ida-Virumaa;Russian;Male;22
2016;Ida-Virumaa;Russian;Female;49
2016;Raplamaa;Estonian;Female;46
2016;Ida-Virumaa;Russian;Male;14
2016;Harjumaa;Estonian;Male;31
2016;Harjumaa;Estonian;Male;38
2016;Harjumaa;Estonian;Male;42
2016;Lääne-Virumaa;Estonian;Male;24
2016;Lääne-Virumaa;Estonian;Female;21
2016;Pärnumaa;Estonian;Male;30
2016;Raplamaa;Estonian;Female;40
2016;Ida-Virumaa;Russian;Male;39
2016;Harjumaa;Estonian;Male;47
2016;Tartumaa;Estonian;Female;45
2016;Harjumaa;Estonian;Female;36
2016;Jõgevamaa;Estonian;Male;37
2016;Harjumaa;Estonian;Female;48
2016;Tartumaa;Estonian;Female;41
2016;Harjumaa;Russian;Male;23
2016;Tartumaa;Estonian;Female;35
2016;Tartumaa;Estonian;Female;44
2016;Harjumaa;Russian;Male;27
2016;Raplamaa;Estonian;Male;38
2016;Harjumaa;Estonian;Male;49
2016;Ida-Virumaa;Russian;Female;40
2016;Harjumaa;Estonian;Male;42
2016;Harjumaa;Estonian;Male;33
2016;Ida-Virumaa;Russian;Female;37
2016;Harjumaa;Estonian;Male;40
