,gender,county,ur,party_preference,age_group2,education,ethnicity,Ion_Ceban,Igor_Dodon,Maia_Sandu,Ilan_Shor?,Irina_Vlah,Dorin_Recean,Igor_Grosu,Ion_Cicu,Alexandr_Stoianoglo,Renato_Usatii,Victoria_Furtuna,trust2_Vladimir_Putin,trust2_Volodymyr_Zelensky,trust2_Ursula_von_der_Leyen,trust2_Emanuel_Macron,trust2_Donald_Trump,trust2_EU,trust2_Russia,trust2_NATO,trust2_Romania,trust2_Ukraine,trust2_USA
10,Male,Mun. Chișinău,Urban,No party,20-29,Upper secondary education,Moldovan,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence
11,Female,Mun. Chișinău,Urban,Undecided,15-19,Post-secondary vocational education,Moldovan,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,No answer,No answer,No answer,No answer,I have no confidence,No answer,I have no confidence,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
12,Male,Mun. Chișinău,Urban,Undecided,30-39,Secondary vocational education,Moldovan,A lot of confidence,Some confidence,A lot of confidence,No answer,Some confidence,Some confidence,No answer,No answer,No answer,Some confidence,No answer,No answer,No answer,A lot of confidence,No answer,No answer,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence
13,Male,Mun. Chișinău,Urban,No party,20-29,Higher education,Moldovan,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence
14,Female,Mun. Chișinău,Urban,PRIM (Irina Vlah),15-19,Upper secondary education,Gagauz,No answer,Some confidence,Some confidence,I have no confidence,Some confidence,No answer,No answer,No answer,A lot of confidence,I have no confidence,No answer,No answer,No answer,No answer,No answer,A lot of confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence
15,Male,Mun. Chișinău,Urban,PAS (Igor Grosu),15-19,Post-secondary vocational education,Moldovan,Some confidence,I don't have much confidence,A lot of confidence,Some confidence,I have no confidence,No answer,Some confidence,No answer,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,No answer,Some confidence,Some confidence,A lot of confidence,No answer,Some confidence,No answer,No answer,No answer
16,Female,Mun. Chișinău,Urban,Undecided,50-59,Higher education,Russian,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,No answer,No answer,Some confidence,No answer,No answer,Some confidence,I don't have much confidence,No answer,I don't have much confidence,Some confidence,No answer
17,Female,Mun. Chișinău,Urban,PAS (Igor Grosu),30-39,Upper secondary education,Romanian,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence
18,Female,Mun. Chișinău,Urban,PAS (Igor Grosu),60+,Upper secondary education,Romanian,No answer,No answer,A lot of confidence,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
19,Female,Mun. Chișinău,Urban,No answer,30-39,Higher education,Romanian,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence
20,Female,Mun. Chișinău,Urban,No answer,20-29,Secondary vocational education,Moldovan,Some confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,No answer,No answer,No answer,No answer,No answer,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence
21,Female,Mun. Chișinău,Urban,PAS (Igor Grosu),20-29,Higher education,Moldovan,I don't have much confidence,Some confidence,A lot of confidence,I don't have much confidence,Some confidence,No answer,Some confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,No answer,Some confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence
22,Female,Mun. Chișinău,Urban,PRIM (Irina Vlah),60+,Higher education,Moldovan,Some confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,No answer,No answer,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence
23,Female,Mun. Chișinău,Urban,Undecided,50-59,Higher education,Moldovan,A lot of confidence,No answer,I have no confidence,No answer,I don't have much confidence,I have no confidence,No answer,Some confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence
24,Male,Mun. Chișinău,Urban,No party,20-29,Secondary vocational education,Moldovan,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,No answer,I don't have much confidence,I don't have much confidence,No answer,No answer,No answer,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence
25,Female,Mun. Chișinău,Urban,No party,30-39,Lower secondary education,Moldovan,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,No answer,No answer,No answer,I don't have much confidence,No answer,I have no confidence,Some confidence,No answer,Some confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence
26,Male,Mun. Chișinău,Urban,No party,20-29,Higher education,Moldovan,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence
27,Female,Mun. Chișinău,Urban,Undecided,20-29,Upper secondary education,Moldovan,Some confidence,I have no confidence,Some confidence,I have no confidence,No answer,No answer,No answer,No answer,I have no confidence,I don't have much confidence,No answer,I have no confidence,No answer,No answer,No answer,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,Some confidence
28,Female,Mun. Chișinău,Urban,PCRM (Vladimir Voronin),30-39,Secondary vocational education,Moldovan,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,I don't have much confidence,I have no confidence
29,Male,Mun. Chișinău,Urban,No answer,20-29,Upper secondary education,Moldovan,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,No answer,I have no confidence,I have no confidence,No answer,I don't have much confidence,I don't have much confidence,No answer,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,No answer,Some confidence
30,Female,Mun. Chișinău,Urban,Undecided,15-19,Upper secondary education,Moldovan,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence
31,Female,Mun. Chișinău,Urban,Other party,60+,Upper secondary education,Moldovan,A lot of confidence,A lot of confidence,No answer,I have no confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,No answer,Some confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence
32,Female,Mun. Chișinău,Urban,Undecided,60+,Post-secondary vocational education,Moldovan,Some confidence,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,No answer,Some confidence,No answer,No answer,I have no confidence,No answer,No answer,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence
33,Male,Mun. Chișinău,Urban,MAN (Ion Ceban),20-29,Higher education,Moldovan,Some confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence
34,Female,Mun. Chișinău,Urban,PSDE (Tudor Ulianovschi),60+,Lower secondary education,Moldovan,Some confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,No answer,Some confidence,I don't have much confidence,No answer,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence
35,Male,Mun. Chișinău,Urban,PAS (Igor Grosu),15-19,Higher education,Moldovan,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,No answer,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence
36,Female,Mun. Chișinău,Urban,PAS (Igor Grosu),30-39,Primary education,Ukrainian,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,No answer,No answer,No answer,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,No answer,No answer,Some confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence
37,Female,Mun. Chișinău,Urban,No answer,15-19,Upper secondary education,Moldovan,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence
38,Female,Mun. Chișinău,Urban,Undecided,50-59,Without education,Moldovan,Some confidence,I have no confidence,No answer,No answer,I don't have much confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,No answer,No answer,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
39,Male,Mun. Chișinău,Urban,Other party,30-39,Upper secondary education,Moldovan,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence
40,Male,Mun. Chișinău,Urban,Undecided,30-39,Upper secondary education,Moldovan,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,No answer,No answer,No answer,No answer,No answer,A lot of confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,Some confidence
41,Female,Mun. Chișinău,Urban,Undecided,20-29,Higher education,Romanian,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,I have no confidence
42,Male,Mun. Chișinău,Urban,MAN (Ion Ceban),50-59,Higher education,Russian,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,A lot of confidence
43,Female,Mun. Chișinău,Urban,PAS (Igor Grosu),50-59,Higher education,Moldovan,Some confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,A lot of confidence,Some confidence,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,Some confidence
44,Female,Mun. Chișinău,Urban,PRIM (Irina Vlah),20-29,Primary education,Russian,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,No answer,I don't have much confidence,Some confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
45,Female,Mun. Chișinău,Urban,PAS (Igor Grosu),40-49,Upper secondary education,Moldovan,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence
46,Male,Mun. Chișinău,Urban,Undecided,50-59,Upper secondary education,Moldovan,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence
47,Female,Mun. Chișinău,Urban,PSRM (Igor Dodon),40-49,Post-secondary vocational education,Moldovan,Some confidence,Some confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence
48,Male,Mun. Chișinău,Urban,PSRM (Igor Dodon),30-39,Higher education,Moldovan,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence
49,Female,Mun. Chișinău,Urban,PSRM (Igor Dodon),60+,Higher education,Russian,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence
50,Male,Mun. Chișinău,Urban,Victorie (Ilan Sor),15-19,Lower secondary education,Bulgarian,I have no confidence,A lot of confidence,I don't have much confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,I have no confidence,Some confidence
51,Female,Mun. Chișinău,Urban,PSRM (Igor Dodon),50-59,Higher education,Moldovan,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
52,Male,Mun. Chișinău,Urban,PDCM (Ion Chicu),60+,Higher education,Moldovan,Some confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,No answer,Some confidence,I have no confidence,I don't have much confidence,Some confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence
53,Male,Mun. Chișinău,Urban,PN (Renato Usatii),20-29,Higher education,Moldovan,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
54,Male,Mun. Chișinău,Urban,PSDE (Tudor Ulianovschi),20-29,Upper secondary education,Moldovan,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,A lot of confidence,Some confidence
55,Male,Mun. Chișinău,Urban,PSRM (Igor Dodon),60+,Post-secondary vocational education,Moldovan,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence
56,Female,Mun. Chișinău,Urban,Undecided,60+,Lower secondary education,Moldovan,I don't have much confidence,I don't have much confidence,I have no confidence,No answer,Some confidence,I have no confidence,No answer,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
57,Male,Mun. Chișinău,Urban,Undecided,60+,Upper secondary education,Moldovan,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
58,Male,Mun. Chișinău,Urban,No party,40-49,Higher education,Ukrainian,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,No answer,Some confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence
59,Female,Mun. Chișinău,Urban,PRIM (Irina Vlah),50-59,Higher education,Moldovan,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence
60,Female,Mun. Chișinău,Urban,Undecided,60+,Lower secondary education,Moldovan,Some confidence,I have no confidence,Some confidence,I have no confidence,No answer,No answer,No answer,No answer,No answer,I have no confidence,No answer,I have no confidence,I have no confidence,No answer,No answer,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I have no confidence,I don't have much confidence
61,Female,Mun. Chișinău,Urban,Other party,15-19,Post-secondary vocational education,Moldovan,Some confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,I have no confidence,No answer,I don't have much confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence
62,Male,Mun. Chișinău,Urban,No party,50-59,Lower secondary education,Moldovan,Some confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,No answer,No answer,No answer,No answer,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
63,Male,Mun. Chișinău,Urban,PCRM (Vladimir Voronin),20-29,Higher education,Moldovan,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
64,Male,Mun. Chișinău,Urban,No party,30-39,Secondary vocational education,Moldovan,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence
65,Male,Mun. Chișinău,Urban,Undecided,60+,Post-secondary vocational education,Moldovan,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence
66,Female,Mun. Chișinău,Urban,PDCM (Ion Chicu),40-49,Higher education,Moldovan,A lot of confidence,I have no confidence,I have no confidence,No answer,No answer,I have no confidence,No answer,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence
67,Male,Mun. Chișinău,Urban,PSRM (Igor Dodon),20-29,Higher education,Moldovan,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,No answer,I don't have much confidence,Some confidence,I don't have much confidence,No answer,Some confidence,I have no confidence,No answer,I don't have much confidence,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence
68,Male,Mun. Chișinău,Urban,MAN (Ion Ceban),20-29,Higher education,Moldovan,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,I don't have much confidence
