ur,gender,education,county,ethnicity,age_group,N
Rural,Female,Higher education,Anenii Noi,Other,70+,1
Rural,Female,Higher education,Anenii Noi,Other,<15,2
Rural,Female,Higher education,Anenii Noi,Roma,70+,1
Rural,Female,Higher education,Anenii Noi,Romanian,20-24,8
Rural,Female,Higher education,Anenii Noi,Romanian,25-29,24
Rural,Female,Higher education,Anenii Noi,Romanian,30-34,21
Rural,Female,Higher education,Anenii Noi,Romanian,35-39,12
Rural,Female,Higher education,Anenii Noi,Romanian,40-44,8
Rural,Female,Higher education,Anenii Noi,Romanian,45-49,8
Rural,Female,Higher education,Anenii Noi,Romanian,50-54,9
Rural,Female,Higher education,Anenii Noi,Romanian,55-59,9
Rural,Female,Higher education,Anenii Noi,Romanian,60-64,8
Rural,Female,Higher education,Anenii Noi,Romanian,65-69,10
Rural,Female,Higher education,Anenii Noi,Romanian,70+,8
Rural,Female,Higher education,Anenii Noi,Romanian,<15,40
Rural,Female,Higher education,Anenii Noi,Russian,20-24,4
Rural,Female,Higher education,Anenii Noi,Russian,25-29,11
Rural,Female,Higher education,Anenii Noi,Russian,30-34,9
Rural,Female,Higher education,Anenii Noi,Russian,35-39,7
Rural,Female,Higher education,Anenii Noi,Russian,40-44,4
Rural,Female,Higher education,Anenii Noi,Russian,45-49,4
Rural,Female,Higher education,Anenii Noi,Russian,50-54,6
Rural,Female,Higher education,Anenii Noi,Russian,55-59,6
Rural,Female,Higher education,Anenii Noi,Russian,60-64,6
Rural,Female,Higher education,Anenii Noi,Russian,65-69,8
Rural,Female,Higher education,Anenii Noi,Russian,70+,13
Rural,Female,Higher education,Anenii Noi,Russian,<15,15
Rural,Female,Higher education,Anenii Noi,Ukrainian,20-24,7
Rural,Female,Higher education,Anenii Noi,Ukrainian,25-29,17
Rural,Female,Higher education,Anenii Noi,Ukrainian,30-34,15
Rural,Female,Higher education,Anenii Noi,Ukrainian,35-39,10
Rural,Female,Higher education,Anenii Noi,Ukrainian,40-44,6
Rural,Female,Higher education,Anenii Noi,Ukrainian,45-49,6
Rural,Female,Higher education,Anenii Noi,Ukrainian,50-54,7
Rural,Female,Higher education,Anenii Noi,Ukrainian,55-59,9
Rural,Female,Higher education,Anenii Noi,Ukrainian,60-64,9
Rural,Female,Higher education,Anenii Noi,Ukrainian,65-69,14
Rural,Female,Higher education,Anenii Noi,Ukrainian,70+,26
Rural,Female,Higher education,Anenii Noi,Ukrainian,<15,22
Rural,Female,Higher education,Basarabeasca,Bulgarian,25-29,2
Rural,Female,Higher education,Basarabeasca,Bulgarian,30-34,2
Rural,Female,Higher education,Basarabeasca,Bulgarian,<15,2
Rural,Female,Higher education,Basarabeasca,Gagauz,<15,1
Rural,Female,Higher education,Basarabeasca,Moldovan,20-24,46
Rural,Female,Higher education,Basarabeasca,Moldovan,25-29,118
Rural,Female,Higher education,Basarabeasca,Moldovan,30-34,84
Rural,Female,Higher education,Basarabeasca,Moldovan,35-39,55
Rural,Female,Higher education,Basarabeasca,Moldovan,40-44,40
Rural,Female,Higher education,Basarabeasca,Moldovan,45-49,39
Rural,Female,Higher education,Basarabeasca,Moldovan,50-54,40
Rural,Female,Higher education,Basarabeasca,Moldovan,55-59,41
Rural,Female,Higher education,Basarabeasca,Moldovan,60-64,41
Rural,Female,Higher education,Basarabeasca,Moldovan,65-69,45
Rural,Female,Higher education,Basarabeasca,Moldovan,70+,63
Rural,Female,Higher education,Basarabeasca,Moldovan,<15,95
Rural,Female,Higher education,Basarabeasca,Romanian,20-24,2
Rural,Female,Higher education,Basarabeasca,Romanian,25-29,4
Rural,Female,Higher education,Basarabeasca,Romanian,30-34,4
Rural,Female,Higher education,Basarabeasca,Romanian,35-39,2
Rural,Female,Higher education,Basarabeasca,Romanian,40-44,1
Rural,Female,Higher education,Basarabeasca,Romanian,45-49,1
Rural,Female,Higher education,Basarabeasca,Romanian,50-54,1
Rural,Female,Higher education,Basarabeasca,Romanian,55-59,1
Rural,Female,Higher education,Basarabeasca,Romanian,60-64,2
Rural,Female,Higher education,Basarabeasca,Romanian,65-69,2
Rural,Female,Higher education,Basarabeasca,Romanian,70+,1
Rural,Female,Higher education,Basarabeasca,Romanian,<15,7
Rural,Female,Higher education,Basarabeasca,Russian,70+,1
Rural,Female,Higher education,Basarabeasca,Russian,<15,1
Rural,Female,Higher education,Briceni,Moldovan,20-24,162
Rural,Female,Higher education,Briceni,Moldovan,25-29,426
Rural,Female,Higher education,Briceni,Moldovan,30-34,373
Rural,Female,Higher education,Briceni,Moldovan,35-39,287
Rural,Female,Higher education,Briceni,Moldovan,40-44,212
Rural,Female,Higher education,Briceni,Moldovan,45-49,191
Rural,Female,Higher education,Briceni,Moldovan,50-54,176
Rural,Female,Higher education,Briceni,Moldovan,55-59,157
Rural,Female,Higher education,Briceni,Moldovan,60-64,144
Rural,Female,Higher education,Briceni,Moldovan,65-69,210
Rural,Female,Higher education,Briceni,Moldovan,70+,328
Rural,Female,Higher education,Briceni,Moldovan,<15,429
Rural,Female,Higher education,Briceni,Romanian,20-24,3
Rural,Female,Higher education,Briceni,Romanian,25-29,8
Rural,Female,Higher education,Briceni,Romanian,30-34,6
Rural,Female,Higher education,Briceni,Romanian,35-39,4
Rural,Female,Higher education,Briceni,Romanian,40-44,2
Rural,Female,Higher education,Briceni,Romanian,45-49,2
Rural,Female,Higher education,Briceni,Romanian,50-54,3
Rural,Female,Higher education,Briceni,Romanian,55-59,3
Rural,Female,Higher education,Briceni,Romanian,60-64,2
Rural,Female,Higher education,Briceni,Romanian,65-69,4
Rural,Female,Higher education,Briceni,Romanian,70+,4
Rural,Female,Higher education,Briceni,Romanian,<15,13
Rural,Female,Higher education,Briceni,Russian,20-24,1
Rural,Female,Higher education,Briceni,Russian,25-29,2
Rural,Female,Higher education,Briceni,Russian,30-34,2
Rural,Female,Higher education,Briceni,Russian,35-39,2
Rural,Female,Higher education,Briceni,Russian,40-44,1
Rural,Female,Higher education,Briceni,Russian,45-49,1
Rural,Female,Higher education,Briceni,Russian,50-54,1
Rural,Female,Higher education,Briceni,Russian,55-59,2
Rural,Female,Higher education,Briceni,Russian,60-64,1
Rural,Female,Higher education,Briceni,Russian,65-69,3
Rural,Female,Higher education,Briceni,Russian,70+,4
Rural,Female,Higher education,Briceni,Russian,<15,3
Rural,Female,Higher education,Briceni,Ukrainian,20-24,15
Rural,Female,Higher education,Briceni,Ukrainian,25-29,27
Rural,Female,Higher education,Briceni,Ukrainian,30-34,24
Rural,Female,Higher education,Briceni,Ukrainian,35-39,18
Rural,Female,Higher education,Briceni,Ukrainian,40-44,15
Rural,Female,Higher education,Briceni,Ukrainian,45-49,15
Rural,Female,Higher education,Briceni,Ukrainian,50-54,15
Rural,Female,Higher education,Briceni,Ukrainian,55-59,15
Rural,Female,Higher education,Briceni,Ukrainian,60-64,20
Rural,Female,Higher education,Briceni,Ukrainian,65-69,31
Rural,Female,Higher education,Briceni,Ukrainian,70+,98
Rural,Female,Higher education,Briceni,Ukrainian,<15,36
Rural,Female,Higher education,Cahul,Bulgarian,20-24,10
Rural,Female,Higher education,Cahul,Bulgarian,25-29,23
Rural,Female,Higher education,Cahul,Bulgarian,30-34,22
Rural,Female,Higher education,Cahul,Bulgarian,35-39,15
Rural,Female,Higher education,Cahul,Bulgarian,40-44,10
Rural,Female,Higher education,Cahul,Bulgarian,45-49,9
Rural,Female,Higher education,Cahul,Bulgarian,50-54,11
Rural,Female,Higher education,Cahul,Bulgarian,55-59,10
Rural,Female,Higher education,Cahul,Bulgarian,60-64,8
Rural,Female,Higher education,Cahul,Bulgarian,65-69,12
Rural,Female,Higher education,Cahul,Bulgarian,70+,12
Rural,Female,Higher education,Cahul,Bulgarian,<15,27
Rural,Female,Higher education,Cahul,Gagauz,20-24,5
Rural,Female,Higher education,Cahul,Gagauz,25-29,14
Rural,Female,Higher education,Cahul,Gagauz,30-34,11
Rural,Female,Higher education,Cahul,Gagauz,35-39,8
Rural,Female,Higher education,Cahul,Gagauz,40-44,5
Rural,Female,Higher education,Cahul,Gagauz,45-49,5
Rural,Female,Higher education,Cahul,Gagauz,50-54,6
Rural,Female,Higher education,Cahul,Gagauz,55-59,6
Rural,Female,Higher education,Cahul,Gagauz,60-64,5
Rural,Female,Higher education,Cahul,Gagauz,65-69,6
Rural,Female,Higher education,Cahul,Gagauz,70+,6
Rural,Female,Higher education,Cahul,Gagauz,<15,17
Rural,Female,Higher education,Cahul,Moldovan,20-24,215
Rural,Female,Higher education,Cahul,Moldovan,25-29,565
Rural,Female,Higher education,Cahul,Moldovan,30-34,465
Rural,Female,Higher education,Cahul,Moldovan,35-39,332
Rural,Female,Higher education,Cahul,Moldovan,40-44,245
Rural,Female,Higher education,Cahul,Moldovan,45-49,210
Rural,Female,Higher education,Cahul,Moldovan,50-54,223
Rural,Female,Higher education,Cahul,Moldovan,55-59,205
Rural,Female,Higher education,Cahul,Moldovan,60-64,191
Rural,Female,Higher education,Cahul,Moldovan,65-69,259
Rural,Female,Higher education,Cahul,Moldovan,70+,369
Rural,Female,Higher education,Cahul,Moldovan,<15,612
Rural,Female,Higher education,Cahul,Other,25-29,2
Rural,Female,Higher education,Cahul,Other,30-34,2
Rural,Female,Higher education,Cahul,Other,35-39,2
Rural,Female,Higher education,Cahul,Other,40-44,2
Rural,Female,Higher education,Cahul,Other,45-49,2
Rural,Female,Higher education,Cahul,Other,50-54,2
Rural,Female,Higher education,Cahul,Other,55-59,2
Rural,Female,Higher education,Cahul,Other,70+,1
Rural,Female,Higher education,Cahul,Other,<15,2
Rural,Female,Higher education,Cahul,Roma,25-29,2
Rural,Female,Higher education,Cahul,Roma,30-34,1
Rural,Female,Higher education,Cahul,Roma,35-39,1
Rural,Female,Higher education,Cahul,Roma,40-44,1
Rural,Female,Higher education,Cahul,Roma,45-49,1
Rural,Female,Higher education,Cahul,Roma,50-54,1
Rural,Female,Higher education,Cahul,Roma,55-59,1
Rural,Female,Higher education,Cahul,Roma,65-69,1
Rural,Female,Higher education,Cahul,Roma,70+,1
Rural,Female,Higher education,Cahul,Roma,<15,2
Rural,Female,Higher education,Cahul,Romanian,20-24,21
Rural,Female,Higher education,Cahul,Romanian,25-29,57
Rural,Female,Higher education,Cahul,Romanian,30-34,49
Rural,Female,Higher education,Cahul,Romanian,35-39,29
Rural,Female,Higher education,Cahul,Romanian,40-44,18
Rural,Female,Higher education,Cahul,Romanian,45-49,18
Rural,Female,Higher education,Cahul,Romanian,50-54,22
Rural,Female,Higher education,Cahul,Romanian,55-59,22
Rural,Female,Higher education,Cahul,Romanian,60-64,18
Rural,Female,Higher education,Cahul,Romanian,65-69,23
Rural,Female,Higher education,Cahul,Romanian,70+,21
Rural,Female,Higher education,Cahul,Romanian,<15,108
Rural,Female,Higher education,Cahul,Russian,20-24,2
Rural,Female,Higher education,Cahul,Russian,25-29,6
Rural,Female,Higher education,Cahul,Russian,30-34,6
Rural,Female,Higher education,Cahul,Russian,35-39,4
Rural,Female,Higher education,Cahul,Russian,40-44,3
Rural,Female,Higher education,Cahul,Russian,45-49,3
Rural,Female,Higher education,Cahul,Russian,50-54,3
Rural,Female,Higher education,Cahul,Russian,55-59,3
Rural,Female,Higher education,Cahul,Russian,60-64,3
Rural,Female,Higher education,Cahul,Russian,65-69,4
Rural,Female,Higher education,Cahul,Russian,70+,8
Rural,Female,Higher education,Cahul,Russian,<15,9
Rural,Female,Higher education,Cahul,Ukrainian,20-24,6
Rural,Female,Higher education,Cahul,Ukrainian,25-29,13
Rural,Female,Higher education,Cahul,Ukrainian,30-34,11
Rural,Female,Higher education,Cahul,Ukrainian,35-39,9
Rural,Female,Higher education,Cahul,Ukrainian,40-44,6
Rural,Female,Higher education,Cahul,Ukrainian,45-49,6
Rural,Female,Higher education,Cahul,Ukrainian,50-54,8
Rural,Female,Higher education,Cahul,Ukrainian,55-59,8
Rural,Female,Higher education,Cahul,Ukrainian,60-64,7
Rural,Female,Higher education,Cahul,Ukrainian,65-69,11
Rural,Female,Higher education,Cahul,Ukrainian,70+,20
Rural,Female,Higher education,Cahul,Ukrainian,<15,17
Rural,Female,Higher education,Cantemir,Bulgarian,20-24,8
Rural,Female,Higher education,Cantemir,Bulgarian,25-29,18
Rural,Female,Higher education,Cantemir,Bulgarian,30-34,15
Rural,Female,Higher education,Cantemir,Bulgarian,35-39,9
Rural,Female,Higher education,Cantemir,Bulgarian,40-44,7
Rural,Female,Higher education,Cantemir,Bulgarian,45-49,6
Rural,Female,Higher education,Cantemir,Bulgarian,50-54,7
Rural,Female,Higher education,Cantemir,Bulgarian,55-59,7
Rural,Female,Higher education,Cantemir,Bulgarian,60-64,7
Rural,Female,Higher education,Cantemir,Bulgarian,65-69,9
Rural,Female,Higher education,Cantemir,Bulgarian,70+,8
Rural,Female,Higher education,Cantemir,Bulgarian,<15,21
Rural,Female,Higher education,Cantemir,Gagauz,25-29,1
Rural,Female,Higher education,Cantemir,Gagauz,<15,1
Rural,Female,Higher education,Cantemir,Moldovan,20-24,150
Rural,Female,Higher education,Cantemir,Moldovan,25-29,403
Rural,Female,Higher education,Cantemir,Moldovan,30-34,302
Rural,Female,Higher education,Cantemir,Moldovan,35-39,204
Rural,Female,Higher education,Cantemir,Moldovan,40-44,163
Rural,Female,Higher education,Cantemir,Moldovan,45-49,146
Rural,Female,Higher education,Cantemir,Moldovan,50-54,147
Rural,Female,Higher education,Cantemir,Moldovan,55-59,127
Rural,Female,Higher education,Cantemir,Moldovan,60-64,120
Rural,Female,Higher education,Cantemir,Moldovan,65-69,175
Rural,Female,Higher education,Cantemir,Moldovan,70+,240
Rural,Female,Higher education,Cantemir,Moldovan,<15,436
Rural,Female,Higher education,Cantemir,Romanian,20-24,7
Rural,Female,Higher education,Cantemir,Romanian,25-29,17
Rural,Female,Higher education,Cantemir,Romanian,30-34,14
Rural,Female,Higher education,Cantemir,Romanian,35-39,8
Rural,Female,Higher education,Cantemir,Romanian,40-44,6
Rural,Female,Higher education,Cantemir,Romanian,45-49,6
Rural,Female,Higher education,Cantemir,Romanian,50-54,6
Rural,Female,Higher education,Cantemir,Romanian,55-59,6
Rural,Female,Higher education,Cantemir,Romanian,60-64,6
Rural,Female,Higher education,Cantemir,Romanian,65-69,7
Rural,Female,Higher education,Cantemir,Romanian,70+,7
Rural,Female,Higher education,Cantemir,Romanian,<15,31
Rural,Female,Higher education,Cantemir,Russian,25-29,2
Rural,Female,Higher education,Cantemir,Russian,30-34,1
Rural,Female,Higher education,Cantemir,Russian,35-39,1
Rural,Female,Higher education,Cantemir,Russian,60-64,1
Rural,Female,Higher education,Cantemir,Russian,65-69,1
Rural,Female,Higher education,Cantemir,Russian,70+,1
Rural,Female,Higher education,Cantemir,Russian,<15,2
Rural,Female,Higher education,Cantemir,Ukrainian,25-29,1
Rural,Female,Higher education,Cantemir,Ukrainian,30-34,1
Rural,Female,Higher education,Cantemir,Ukrainian,65-69,1
Rural,Female,Higher education,Cantemir,Ukrainian,70+,4
Rural,Female,Higher education,Cantemir,Ukrainian,<15,1
Rural,Female,Higher education,Cimișlia,Bulgarian,20-24,3
Rural,Female,Higher education,Cimișlia,Bulgarian,25-29,7
Rural,Female,Higher education,Cimișlia,Bulgarian,30-34,6
Rural,Female,Higher education,Cimișlia,Bulgarian,35-39,2
Rural,Female,Higher education,Cimișlia,Bulgarian,40-44,2
Rural,Female,Higher education,Cimișlia,Bulgarian,45-49,2
Rural,Female,Higher education,Cimișlia,Bulgarian,50-54,2
Rural,Female,Higher education,Cimișlia,Bulgarian,55-59,3
Rural,Female,Higher education,Cimișlia,Bulgarian,60-64,4
Rural,Female,Higher education,Cimișlia,Bulgarian,65-69,4
Rural,Female,Higher education,Cimișlia,Bulgarian,70+,2
Rural,Female,Higher education,Cimișlia,Bulgarian,<15,6
Rural,Female,Higher education,Cimișlia,Moldovan,20-24,113
Rural,Female,Higher education,Cimișlia,Moldovan,25-29,291
Rural,Female,Higher education,Cimișlia,Moldovan,30-34,215
Rural,Female,Higher education,Cimișlia,Moldovan,35-39,147
Rural,Female,Higher education,Cimișlia,Moldovan,40-44,117
Rural,Female,Higher education,Cimișlia,Moldovan,45-49,116
Rural,Female,Higher education,Cimișlia,Moldovan,50-54,111
Rural,Female,Higher education,Cimișlia,Moldovan,55-59,105
Rural,Female,Higher education,Cimișlia,Moldovan,60-64,111
Rural,Female,Higher education,Cimișlia,Moldovan,65-69,173
Rural,Female,Higher education,Cimișlia,Moldovan,70+,174
Rural,Female,Higher education,Cimișlia,Moldovan,<15,254
Rural,Female,Higher education,Cimișlia,Romanian,20-24,3
Rural,Female,Higher education,Cimișlia,Romanian,25-29,7
Rural,Female,Higher education,Cimișlia,Romanian,30-34,5
Rural,Female,Higher education,Cimișlia,Romanian,35-39,3
Rural,Female,Higher education,Cimișlia,Romanian,40-44,2
Rural,Female,Higher education,Cimișlia,Romanian,45-49,2
Rural,Female,Higher education,Cimișlia,Romanian,50-54,2
Rural,Female,Higher education,Cimișlia,Romanian,55-59,2
Rural,Female,Higher education,Cimișlia,Romanian,60-64,2
Rural,Female,Higher education,Cimișlia,Romanian,65-69,3
Rural,Female,Higher education,Cimișlia,Romanian,70+,3
Rural,Female,Higher education,Cimișlia,Romanian,<15,9
Rural,Female,Higher education,Cimișlia,Russian,20-24,3
Rural,Female,Higher education,Cimișlia,Russian,25-29,6
Rural,Female,Higher education,Cimișlia,Russian,30-34,5
Rural,Female,Higher education,Cimișlia,Russian,35-39,3
Rural,Female,Higher education,Cimișlia,Russian,40-44,3
Rural,Female,Higher education,Cimișlia,Russian,45-49,3
Rural,Female,Higher education,Cimișlia,Russian,50-54,3
Rural,Female,Higher education,Cimișlia,Russian,55-59,3
Rural,Female,Higher education,Cimișlia,Russian,60-64,4
Rural,Female,Higher education,Cimișlia,Russian,65-69,6
Rural,Female,Higher education,Cimișlia,Russian,70+,8
Rural,Female,Higher education,Cimișlia,Russian,<15,8
Rural,Female,Higher education,Cimișlia,Ukrainian,20-24,2
Rural,Female,Higher education,Cimișlia,Ukrainian,25-29,5
Rural,Female,Higher education,Cimișlia,Ukrainian,30-34,4
Rural,Female,Higher education,Cimișlia,Ukrainian,35-39,3
Rural,Female,Higher education,Cimișlia,Ukrainian,40-44,3
Rural,Female,Higher education,Cimișlia,Ukrainian,45-49,3
Rural,Female,Higher education,Cimișlia,Ukrainian,50-54,3
Rural,Female,Higher education,Cimișlia,Ukrainian,55-59,4
Rural,Female,Higher education,Cimișlia,Ukrainian,60-64,3
Rural,Female,Higher education,Cimișlia,Ukrainian,65-69,6
Rural,Female,Higher education,Cimișlia,Ukrainian,70+,13
Rural,Female,Higher education,Cimișlia,Ukrainian,<15,6
Rural,Female,Higher education,Criuleni,Moldovan,20-24,228
Rural,Female,Higher education,Criuleni,Moldovan,25-29,648
Rural,Female,Higher education,Criuleni,Moldovan,30-34,509
Rural,Female,Higher education,Criuleni,Moldovan,35-39,371
Rural,Female,Higher education,Criuleni,Moldovan,40-44,280
Rural,Female,Higher education,Criuleni,Moldovan,45-49,243
Rural,Female,Higher education,Criuleni,Moldovan,50-54,230
Rural,Female,Higher education,Criuleni,Moldovan,55-59,213
Rural,Female,Higher education,Criuleni,Moldovan,60-64,200
Rural,Female,Higher education,Criuleni,Moldovan,65-69,279
Rural,Female,Higher education,Criuleni,Moldovan,70+,288
Rural,Female,Higher education,Criuleni,Moldovan,<15,640
Rural,Female,Higher education,Criuleni,Other,25-29,1
Rural,Female,Higher education,Criuleni,Other,30-34,1
Rural,Female,Higher education,Criuleni,Other,<15,1
Rural,Female,Higher education,Criuleni,Romanian,20-24,13
Rural,Female,Higher education,Criuleni,Romanian,25-29,39
Rural,Female,Higher education,Criuleni,Romanian,30-34,31
Rural,Female,Higher education,Criuleni,Romanian,35-39,21
Rural,Female,Higher education,Criuleni,Romanian,40-44,12
Rural,Female,Higher education,Criuleni,Romanian,45-49,12
Rural,Female,Higher education,Criuleni,Romanian,50-54,14
Rural,Female,Higher education,Criuleni,Romanian,55-59,14
Rural,Female,Higher education,Criuleni,Romanian,60-64,12
Rural,Female,Higher education,Criuleni,Romanian,65-69,16
Rural,Female,Higher education,Criuleni,Romanian,70+,14
Rural,Female,Higher education,Criuleni,Romanian,<15,65
Rural,Female,Higher education,Criuleni,Russian,20-24,1
Rural,Female,Higher education,Criuleni,Russian,25-29,2
Rural,Female,Higher education,Criuleni,Russian,30-34,2
Rural,Female,Higher education,Criuleni,Russian,35-39,1
Rural,Female,Higher education,Criuleni,Russian,40-44,1
Rural,Female,Higher education,Criuleni,Russian,45-49,1
Rural,Female,Higher education,Criuleni,Russian,50-54,1
Rural,Female,Higher education,Criuleni,Russian,55-59,2
Rural,Female,Higher education,Criuleni,Russian,60-64,1
Rural,Female,Higher education,Criuleni,Russian,65-69,2
Rural,Female,Higher education,Criuleni,Russian,70+,2
Rural,Female,Higher education,Criuleni,Russian,<15,3
Rural,Female,Higher education,Criuleni,Ukrainian,20-24,4
Rural,Female,Higher education,Criuleni,Ukrainian,25-29,7
Rural,Female,Higher education,Criuleni,Ukrainian,30-34,5
Rural,Female,Higher education,Criuleni,Ukrainian,35-39,5
Rural,Female,Higher education,Criuleni,Ukrainian,40-44,4
Rural,Female,Higher education,Criuleni,Ukrainian,45-49,4
Rural,Female,Higher education,Criuleni,Ukrainian,50-54,4
Rural,Female,Higher education,Criuleni,Ukrainian,55-59,4
Rural,Female,Higher education,Criuleni,Ukrainian,60-64,5
Rural,Female,Higher education,Criuleni,Ukrainian,65-69,8
Rural,Female,Higher education,Criuleni,Ukrainian,70+,18
Rural,Female,Higher education,Criuleni,Ukrainian,<15,8
Rural,Female,Higher education,Călărași,Moldovan,20-24,161
Rural,Female,Higher education,Călărași,Moldovan,25-29,427
Rural,Female,Higher education,Călărași,Moldovan,30-34,341
Rural,Female,Higher education,Călărași,Moldovan,35-39,250
Rural,Female,Higher education,Călărași,Moldovan,40-44,200
Rural,Female,Higher education,Călărași,Moldovan,45-49,168
Rural,Female,Higher education,Călărași,Moldovan,50-54,162
Rural,Female,Higher education,Călărași,Moldovan,55-59,149
Rural,Female,Higher education,Călărași,Moldovan,60-64,148
Rural,Female,Higher education,Călărași,Moldovan,65-69,224
Rural,Female,Higher education,Călărași,Moldovan,70+,269
Rural,Female,Higher education,Călărași,Moldovan,<15,408
Rural,Female,Higher education,Călărași,Roma,25-29,1
Rural,Female,Higher education,Călărași,Roma,30-34,1
Rural,Female,Higher education,Călărași,Roma,70+,1
Rural,Female,Higher education,Călărași,Romanian,20-24,17
Rural,Female,Higher education,Călărași,Romanian,25-29,49
Rural,Female,Higher education,Călărași,Romanian,30-34,40
Rural,Female,Higher education,Călărași,Romanian,35-39,26
Rural,Female,Higher education,Călărași,Romanian,40-44,18
Rural,Female,Higher education,Călărași,Romanian,45-49,17
Rural,Female,Higher education,Călărași,Romanian,50-54,19
Rural,Female,Higher education,Călărași,Romanian,55-59,18
Rural,Female,Higher education,Călărași,Romanian,60-64,16
Rural,Female,Higher education,Călărași,Romanian,65-69,24
Rural,Female,Higher education,Călărași,Romanian,70+,22
Rural,Female,Higher education,Călărași,Romanian,<15,84
Rural,Female,Higher education,Călărași,Russian,25-29,2
Rural,Female,Higher education,Călărași,Russian,30-34,1
Rural,Female,Higher education,Călărași,Russian,35-39,1
Rural,Female,Higher education,Călărași,Russian,60-64,1
Rural,Female,Higher education,Călărași,Russian,65-69,1
Rural,Female,Higher education,Călărași,Russian,70+,1
Rural,Female,Higher education,Călărași,Russian,<15,2
Rural,Female,Higher education,Călărași,Ukrainian,20-24,3
Rural,Female,Higher education,Călărași,Ukrainian,25-29,8
Rural,Female,Higher education,Călărași,Ukrainian,30-34,6
Rural,Female,Higher education,Călărași,Ukrainian,35-39,6
Rural,Female,Higher education,Călărași,Ukrainian,40-44,4
Rural,Female,Higher education,Călărași,Ukrainian,45-49,4
Rural,Female,Higher education,Călărași,Ukrainian,50-54,4
Rural,Female,Higher education,Călărași,Ukrainian,55-59,4
Rural,Female,Higher education,Călărași,Ukrainian,60-64,5
Rural,Female,Higher education,Călărași,Ukrainian,65-69,9
Rural,Female,Higher education,Călărași,Ukrainian,70+,18
Rural,Female,Higher education,Călărași,Ukrainian,<15,9
Rural,Female,Higher education,Căușeni,Bulgarian,20-24,2
Rural,Female,Higher education,Căușeni,Bulgarian,25-29,6
Rural,Female,Higher education,Căușeni,Bulgarian,30-34,5
Rural,Female,Higher education,Căușeni,Bulgarian,35-39,3
Rural,Female,Higher education,Căușeni,Bulgarian,40-44,2
Rural,Female,Higher education,Căușeni,Bulgarian,45-49,2
Rural,Female,Higher education,Căușeni,Bulgarian,50-54,2
Rural,Female,Higher education,Căușeni,Bulgarian,55-59,2
Rural,Female,Higher education,Căușeni,Bulgarian,60-64,4
Rural,Female,Higher education,Căușeni,Bulgarian,65-69,4
Rural,Female,Higher education,Căușeni,Bulgarian,70+,4
Rural,Female,Higher education,Căușeni,Bulgarian,<15,9
Rural,Female,Higher education,Căușeni,Gagauz,25-29,2
Rural,Female,Higher education,Căușeni,Gagauz,30-34,2
Rural,Female,Higher education,Căușeni,Gagauz,35-39,1
Rural,Female,Higher education,Căușeni,Gagauz,40-44,1
Rural,Female,Higher education,Căușeni,Gagauz,45-49,1
Rural,Female,Higher education,Căușeni,Gagauz,50-54,1
Rural,Female,Higher education,Căușeni,Gagauz,55-59,1
Rural,Female,Higher education,Căușeni,Gagauz,65-69,1
Rural,Female,Higher education,Căușeni,Gagauz,<15,3
Rural,Female,Higher education,Căușeni,Moldovan,20-24,207
Rural,Female,Higher education,Căușeni,Moldovan,25-29,592
