,age_group,education,gender,nationality,electoral_district,unit,urban_rural,N
30,18-24,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Urban,388
31,18-24,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Rural,1108
32,18-24,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Small town,427
33,18-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,Rural,187
34,18-24,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,Rural,16
35,18-24,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,Rural,101
36,18-24,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Urban,640
37,18-24,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Rural,119
38,18-24,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Small town,1
39,18-24,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Urban,46
40,18-24,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Rural,9
41,18-24,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Urban,317
42,18-24,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Rural,119
43,18-24,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Small town,2
44,18-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,392
45,18-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,150
46,18-24,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,26
47,18-24,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,10
48,18-24,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,320
49,18-24,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,94
50,18-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Urban,162
51,18-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Rural,231
52,18-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Small town,149
53,18-24,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Urban,13
54,18-24,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Rural,17
55,18-24,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Small town,10
56,18-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Urban,100
57,18-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Rural,296
58,18-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Small town,89
59,18-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,193
60,18-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,135
61,18-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Small town,17
62,18-24,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,12
63,18-24,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,7
64,18-24,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,117
65,18-24,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,111
66,18-24,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Small town,10
67,18-24,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Urban,304
68,18-24,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Rural,641
69,18-24,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Small town,167
70,18-24,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Urban,24
71,18-24,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Rural,41
72,18-24,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Small town,12
73,18-24,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Urban,172
74,18-24,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Rural,505
75,18-24,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Small town,126
76,18-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,316
77,18-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,138
78,18-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,18
79,18-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,9
80,18-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,220
81,18-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,112
82,18-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,Urban,899
83,18-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,Rural,521
84,18-24,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,Small town,136
85,18-24,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,Urban,75
86,18-24,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,Rural,32
87,18-24,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,Small town,13
88,18-24,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,Urban,557
89,18-24,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,Rural,470
90,18-24,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,Small town,155
91,18-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Rural,505
92,18-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Small town,147
93,18-24,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Rural,25
94,18-24,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Small town,6
95,18-24,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Rural,418
96,18-24,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Small town,73
97,18-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Urban,268
98,18-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Rural,309
99,18-24,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Urban,25
100,18-24,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Rural,18
101,18-24,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Urban,189
102,18-24,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Rural,215
103,18-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,Urban,1431
104,18-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,Rural,21
105,18-24,Secondary education,Male,Estonian,Tartu linn,Tartu linn,Small town,5
106,18-24,Higher education,Male,Estonian,Tartu linn,Tartu linn,Urban,176
107,18-24,Basic education,Male,Estonian,Tartu linn,Tartu linn,Urban,1016
108,18-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Rural,1059
109,18-24,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Small town,99
110,18-24,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Rural,81
111,18-24,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Small town,13
112,18-24,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Rural,818
113,18-24,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Small town,46
114,18-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,217
115,18-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,266
116,18-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,12
117,18-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,13
118,18-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,187
119,18-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,190
120,18-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Urban,362
121,18-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Rural,544
122,18-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Small town,43
123,18-24,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Urban,26
124,18-24,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Rural,19
125,18-24,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Small town,3
126,18-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Urban,227
127,18-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Rural,373
128,18-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Small town,21
129,18-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,262
130,18-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,391
131,18-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Small town,29
132,18-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,10
133,18-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,20
134,18-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Small town,1
135,18-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,152
136,18-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,309
137,18-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Small town,22
138,18-24,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,295
139,18-24,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,25
140,18-24,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,185
141,18-24,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,96
142,18-24,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,12
143,18-24,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,70
144,18-24,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,99
145,18-24,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,2
146,18-24,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,41
147,18-24,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,845
148,18-24,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,50
149,18-24,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,613
150,18-24,Secondary education,Male,Other,Mustamäe ja Nõmme,Mustamäe,Tallinn,259
151,18-24,Higher education,Male,Other,Mustamäe ja Nõmme,Mustamäe,Tallinn,21
152,18-24,Basic education,Male,Other,Mustamäe ja Nõmme,Mustamäe,Tallinn,180
153,18-24,Secondary education,Male,Other,Mustamäe ja Nõmme,Nõmme,Tallinn,54
154,18-24,Higher education,Male,Other,Mustamäe ja Nõmme,Nõmme,Tallinn,5
155,18-24,Basic education,Male,Other,Mustamäe ja Nõmme,Nõmme,Tallinn,35
156,18-24,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,56
157,18-24,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,4
158,18-24,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,30
159,18-24,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,245
160,18-24,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,7
161,18-24,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,201
162,18-24,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,Urban,94
163,18-24,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,Rural,179
164,18-24,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,Small town,112
165,18-24,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,Urban,5
166,18-24,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,Rural,7
167,18-24,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,Small town,8
168,18-24,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,Urban,62
169,18-24,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,Rural,176
170,18-24,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,Small town,68
171,18-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,Rural,1
172,18-24,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,Urban,1255
173,18-24,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,Rural,233
174,18-24,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,Small town,2
175,18-24,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,Urban,59
176,18-24,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,Rural,12
177,18-24,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,Urban,696
178,18-24,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,Rural,260
179,18-24,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,Small town,5
180,18-24,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,20
181,18-24,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,7
182,18-24,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,2
183,18-24,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,1
184,18-24,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,19
185,18-24,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,5
186,18-24,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Urban,1
187,18-24,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Rural,1
188,18-24,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Small town,1
189,18-24,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Urban,1
190,18-24,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Rural,4
191,18-24,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Small town,1
192,18-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,9
193,18-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,6
194,18-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Small town,1
195,18-24,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,1
196,18-24,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,11
197,18-24,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,11
198,18-24,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Small town,1
199,18-24,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Urban,18
200,18-24,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Rural,38
201,18-24,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Small town,10
202,18-24,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Urban,2
203,18-24,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Rural,3
204,18-24,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Small town,1
205,18-24,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Urban,14
206,18-24,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Rural,42
207,18-24,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Small town,10
208,18-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,6
209,18-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,3
210,18-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,6
211,18-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,3
212,18-24,Secondary education,Male,Other,Pärnumaa,Pärnumaa,Urban,39
213,18-24,Secondary education,Male,Other,Pärnumaa,Pärnumaa,Rural,23
214,18-24,Secondary education,Male,Other,Pärnumaa,Pärnumaa,Small town,6
215,18-24,Higher education,Male,Other,Pärnumaa,Pärnumaa,Urban,5
216,18-24,Higher education,Male,Other,Pärnumaa,Pärnumaa,Rural,2
217,18-24,Higher education,Male,Other,Pärnumaa,Pärnumaa,Small town,1
218,18-24,Basic education,Male,Other,Pärnumaa,Pärnumaa,Urban,26
219,18-24,Basic education,Male,Other,Pärnumaa,Pärnumaa,Rural,22
220,18-24,Basic education,Male,Other,Pärnumaa,Pärnumaa,Small town,7
221,18-24,Secondary education,Male,Other,Harju- ja Raplamaa,Raplamaa,Rural,5
222,18-24,Secondary education,Male,Other,Harju- ja Raplamaa,Raplamaa,Small town,2
223,18-24,Higher education,Male,Other,Harju- ja Raplamaa,Raplamaa,Rural,1
224,18-24,Basic education,Male,Other,Harju- ja Raplamaa,Raplamaa,Rural,20
225,18-24,Basic education,Male,Other,Harju- ja Raplamaa,Raplamaa,Small town,4
226,18-24,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Rural,1
227,18-24,Secondary education,Male,Other,Tartu linn,Tartu linn,Urban,160
228,18-24,Secondary education,Male,Other,Tartu linn,Tartu linn,Rural,2
229,18-24,Secondary education,Male,Other,Tartu linn,Tartu linn,Small town,1
230,18-24,Higher education,Male,Other,Tartu linn,Tartu linn,Urban,9
231,18-24,Basic education,Male,Other,Tartu linn,Tartu linn,Urban,133
232,18-24,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Rural,49
233,18-24,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Small town,5
234,18-24,Higher education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Rural,2
235,18-24,Basic education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Rural,45
236,18-24,Basic education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Small town,3
237,18-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,16
238,18-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,19
239,18-24,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,1
240,18-24,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,1
241,18-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,26
242,18-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,26
243,18-24,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Urban,2
244,18-24,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Rural,3
245,18-24,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Urban,3
246,18-24,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Rural,4
247,18-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,3
248,18-24,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,5
249,18-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,3
250,18-24,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,5
251,18-24,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,474
252,18-24,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,116
253,18-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,236
254,18-24,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,739
255,18-24,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,175
256,18-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,316
257,18-24,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,442
258,18-24,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,97
259,18-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,176
260,18-24,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,649
261,18-24,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,124
262,18-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,378
263,18-24,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,Tallinn,673
264,18-24,Higher education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,Tallinn,171
265,18-24,Basic education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,Tallinn,323
266,18-24,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,Tallinn,623
267,18-24,Higher education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,Tallinn,134
268,18-24,Basic education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,Tallinn,270
269,18-24,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,254
270,18-24,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,58
271,18-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,124
272,18-24,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,554
273,18-24,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,105
274,18-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,260
275,18-24,Secondary education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,Urban,651
276,18-24,Secondary education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,Rural,1244
277,18-24,Secondary education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,Small town,774
278,18-24,Higher education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,Urban,115
279,18-24,Higher education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,Rural,175
280,18-24,Higher education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,Small town,178
281,18-24,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,Urban,295
282,18-24,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,Rural,842
283,18-24,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,Small town,325
