,gender,age,ethnicity,party,conservative,discrimination
409,female,66,estonian,Isamaa,1,0
410,male,37,estonian,EKRE,1,1
411,female,32,estonian,Isamaa,1,0
412,female,40,estonian,Isamaa,1,1
413,male,28,estonian,EKRE,1,1
414,male,50,other,Keskerakond,1,1
415,male,72,estonian,Reform,0,0
416,male,26,estonian,EKRE,1,1
417,female,33,estonian,Keskerakond,1,1
418,female,47,estonian,Isamaa,1,0
419,female,72,estonian,Isamaa,1,0
420,female,42,estonian,SDE,0,1
421,female,49,other,Keskerakond,1,1
422,female,26,estonian,SDE,1,0
423,male,34,estonian,Isamaa,1,0
424,female,79,estonian,SDE,0,1
425,male,75,estonian,Reform,0,0
426,male,21,estonian,Reform,1,0
427,female,73,estonian,Keskerakond,1,0
428,male,54,estonian,SDE,0,0
429,female,66,estonian,Reform,0,1
430,male,47,estonian,Reform,0,1
431,female,49,estonian,Parempoolsed,0,0
432,male,48,estonian,Keskerakond,1,0
433,female,55,estonian,EKRE,1,1
434,female,34,estonian,Keskerakond,1,1
435,female,25,other,EKRE,1,1
436,female,42,estonian,Isamaa,1,0
437,female,57,estonian,Reform,1,0
438,male,37,estonian,E200,0,0
439,male,56,estonian,E200,0,0
440,male,76,estonian,EKRE,1,1
441,female,31,estonian,Reform,0,0
442,male,56,estonian,Isamaa,1,0
443,female,47,estonian,Parempoolsed,1,0
444,female,66,estonian,Parempoolsed,0,0
445,male,36,estonian,Reform,0,0
446,male,57,estonian,SDE,0,1
447,female,64,estonian,Keskerakond,1,0
448,male,73,estonian,Reform,0,0
449,female,56,estonian,Isamaa,1,0
450,female,49,estonian,EKRE,1,1
451,female,53,other,Keskerakond,1,1
452,female,66,estonian,Keskerakond,1,1
453,female,51,estonian,EKRE,1,1
454,male,25,estonian,Parempoolsed,1,1
455,male,71,other,Isamaa,1,0
456,female,56,estonian,Reform,0,0
457,female,56,other,Keskerakond,1,0
458,male,38,estonian,Keskerakond,0,0
459,male,55,estonian,Reform,1,0
460,female,45,estonian,Isamaa,1,0
461,male,55,estonian,Isamaa,1,0
462,female,32,other,Keskerakond,1,0
463,male,55,estonian,Reform,0,0
464,female,83,estonian,Isamaa,1,1
465,male,27,estonian,Keskerakond,1,0
466,female,77,estonian,EKRE,1,0
467,male,46,other,Keskerakond,0,0
468,male,66,estonian,SDE,0,0
469,female,61,estonian,Isamaa,1,0
470,male,51,estonian,Isamaa,1,0
471,female,59,estonian,SDE,0,0
472,male,67,estonian,Reform,0,1
473,female,46,other,Keskerakond,1,1
474,male,43,estonian,SDE,0,1
475,female,55,estonian,SDE,0,0
476,male,62,estonian,Parempoolsed,0,1
477,female,60,estonian,Reform,0,1
478,male,62,estonian,EKRE,1,1
479,female,47,estonian,EKRE,1,1
480,female,63,estonian,Isamaa,1,0
481,female,33,estonian,Reform,0,0
482,male,50,estonian,Isamaa,1,0
483,female,21,estonian,E200,0,0
484,male,43,estonian,Reform,0,1
485,female,44,estonian,Reform,1,0
486,male,45,estonian,EKRE,1,1
487,female,57,other,Isamaa,1,0
488,male,45,estonian,Isamaa,1,0
489,male,47,estonian,EKRE,1,1
490,female,39,estonian,Isamaa,1,0
491,male,44,estonian,Reform,0,0
492,male,39,estonian,SDE,0,0
493,female,29,estonian,SDE,0,0
494,male,53,estonian,Reform,0,0
495,male,55,estonian,Isamaa,1,0
496,male,53,estonian,SDE,0,0
497,female,48,estonian,SDE,0,0
498,male,45,estonian,Isamaa,1,1
499,female,66,other,Keskerakond,1,1
500,male,50,estonian,EKRE,1,1
501,male,48,estonian,SDE,0,0
502,male,25,estonian,Parempoolsed,0,0
503,female,43,estonian,Isamaa,1,1
504,male,45,estonian,E200,0,0
505,male,45,other,Reform,0,0
506,female,52,estonian,Parempoolsed,0,0
507,male,50,estonian,EKRE,1,1
508,female,53,estonian,SDE,0,0
509,female,60,other,Isamaa,1,0
510,male,63,estonian,EKRE,1,1
511,female,58,other,Isamaa,0,0
512,male,74,estonian,Parempoolsed,1,0
513,female,23,estonian,SDE,0,0
514,female,37,estonian,SDE,0,0
515,male,21,estonian,E200,0,0
516,female,55,estonian,Isamaa,1,0
517,female,68,estonian,EKRE,1,1
518,female,39,estonian,Isamaa,1,0
519,female,71,estonian,Isamaa,1,0
520,female,28,estonian,Isamaa,1,0
521,male,72,estonian,EKRE,1,1
522,female,44,estonian,Isamaa,1,1
523,male,32,estonian,Isamaa,1,0
524,female,48,estonian,Isamaa,1,0
525,male,40,estonian,Isamaa,1,0
526,male,41,estonian,Parempoolsed,0,1
527,female,42,estonian,SDE,0,0
528,female,62,estonian,Parempoolsed,0,1
529,female,50,estonian,EKRE,1,0
530,male,42,estonian,Isamaa,1,0
531,female,53,estonian,SDE,0,1
532,male,58,estonian,EKRE,1,1
533,male,41,estonian,EKRE,1,0
534,male,46,estonian,Isamaa,1,0
535,female,33,estonian,Isamaa,1,0
536,female,36,estonian,Isamaa,1,0
537,male,56,estonian,EKRE,1,0
538,male,36,other,Keskerakond,1,1
539,female,50,estonian,Isamaa,1,0
540,male,57,estonian,Isamaa,1,0
541,female,32,estonian,SDE,0,0
542,male,51,estonian,Isamaa,1,0
543,female,40,other,EKRE,1,1
544,male,75,estonian,SDE,0,0
545,female,48,estonian,Isamaa,1,0
546,male,62,estonian,Isamaa,1,0
547,female,51,estonian,Reform,0,0
548,female,27,estonian,EKRE,1,1
549,male,54,estonian,Reform,0,1
550,male,73,other,SDE,0,0
551,female,53,estonian,Isamaa,1,1
552,male,63,estonian,Reform,1,0
553,female,67,estonian,Reform,0,0
554,male,39,estonian,Isamaa,1,0
555,female,38,other,Keskerakond,1,0
556,female,53,estonian,Isamaa,1,0
557,female,46,estonian,Reform,0,0
558,female,64,estonian,Isamaa,1,0
559,female,69,estonian,Reform,0,0
560,female,44,estonian,EKRE,1,0
561,male,39,estonian,SDE,1,0
562,male,61,estonian,Isamaa,1,0
563,male,41,estonian,EKRE,1,1
564,female,63,estonian,Reform,1,0
565,female,46,other,Keskerakond,1,1
566,female,55,estonian,Reform,0,0
567,female,31,estonian,Keskerakond,1,0
568,male,54,other,Keskerakond,0,1
569,male,47,estonian,SDE,1,0
570,female,52,estonian,EKRE,0,1
571,male,36,estonian,Reform,0,0
572,male,59,estonian,SDE,0,0
573,female,66,estonian,Parempoolsed,0,0
574,male,38,estonian,SDE,0,0
575,female,31,estonian,EKRE,1,1
576,male,24,estonian,Isamaa,1,0
577,female,54,estonian,Reform,1,0
578,female,53,other,Keskerakond,0,1
579,female,51,estonian,Reform,0,0
580,female,39,estonian,Reform,0,0
581,male,45,estonian,SDE,0,0
582,female,52,estonian,EKRE,1,1
583,female,49,estonian,SDE,0,0
584,female,79,estonian,EKRE,1,0
585,male,34,estonian,EKRE,1,0
586,female,57,estonian,EKRE,1,1
587,male,46,other,Keskerakond,1,1
588,female,46,estonian,Isamaa,0,0
589,male,58,estonian,Isamaa,1,1
590,male,57,estonian,Parempoolsed,0,0
591,female,80,estonian,Isamaa,1,0
592,male,33,estonian,Reform,0,0
593,female,32,estonian,Reform,1,0
594,female,58,estonian,Reform,0,0
595,female,52,other,Keskerakond,1,1
596,male,41,estonian,Isamaa,1,0
597,male,30,estonian,Reform,0,0
598,female,30,other,EKRE,1,1
599,female,68,estonian,Keskerakond,1,1
600,male,37,estonian,Isamaa,1,0
601,female,43,estonian,Reform,0,0
602,female,38,estonian,Isamaa,1,0
603,female,44,estonian,Isamaa,1,0
604,male,29,estonian,Isamaa,1,0
605,male,50,estonian,Isamaa,1,1
606,male,29,estonian,SDE,0,0
607,female,62,estonian,Isamaa,1,0
608,female,39,estonian,E200,0,0
609,female,50,estonian,Parempoolsed,0,0
610,male,67,estonian,Reform,0,0
611,female,55,estonian,Isamaa,1,0
612,female,50,other,EKRE,1,0
613,female,43,estonian,SDE,0,0
614,female,43,estonian,EKRE,1,0
615,male,55,estonian,Isamaa,1,1
616,male,81,estonian,Reform,1,0
617,female,55,estonian,SDE,0,1
618,male,51,other,SDE,0,0
619,male,58,estonian,Isamaa,1,0
620,female,48,other,Keskerakond,1,1
621,female,28,estonian,Isamaa,0,0
622,male,51,estonian,Isamaa,1,0
623,female,74,estonian,SDE,0,0
624,male,36,estonian,Isamaa,1,0
625,female,56,estonian,Isamaa,1,0
626,male,37,estonian,Isamaa,1,0
627,female,50,estonian,SDE,0,1
628,male,31,estonian,SDE,0,0
629,male,47,estonian,Reform,0,0
630,male,60,other,Keskerakond,1,1
631,female,43,estonian,Isamaa,1,0
632,male,55,estonian,EKRE,1,1
633,male,62,other,EKRE,1,1
634,female,71,estonian,Isamaa,1,0
635,female,39,estonian,Reform,0,0
636,male,45,estonian,E200,0,1
637,male,35,estonian,Isamaa,1,0
638,female,80,estonian,Isamaa,1,0
639,female,71,estonian,Isamaa,1,0
640,female,50,estonian,Isamaa,1,0
641,female,64,estonian,E200,0,0
642,female,50,estonian,Reform,0,0
643,male,54,estonian,EKRE,1,1
644,female,31,estonian,SDE,0,0
645,male,60,estonian,Isamaa,1,0
646,male,33,estonian,EKRE,1,0
647,male,63,estonian,EKRE,1,1
648,female,61,estonian,Reform,0,0
649,male,57,estonian,Parempoolsed,0,0
650,male,26,estonian,Keskerakond,1,1
651,female,42,estonian,EKRE,1,1
652,male,40,estonian,SDE,0,0
653,male,44,estonian,Isamaa,1,0
654,female,31,estonian,Isamaa,1,0
655,male,72,estonian,Isamaa,1,0
656,male,51,estonian,EKRE,1,0
657,male,42,estonian,Reform,1,0
658,female,45,other,Keskerakond,0,1
659,female,47,estonian,E200,0,0
660,female,53,estonian,Reform,0,0
661,male,49,estonian,EKRE,1,1
662,male,70,estonian,Isamaa,1,0
663,female,49,estonian,Isamaa,1,0
664,male,80,estonian,Reform,0,0
665,male,65,estonian,EKRE,1,1
666,female,38,estonian,SDE,0,0
667,female,71,estonian,Isamaa,1,0
668,male,33,estonian,Isamaa,1,0
669,male,63,estonian,EKRE,1,0
670,male,45,estonian,Isamaa,1,0
671,female,67,estonian,Isamaa,1,0
672,female,66,other,Keskerakond,1,1
673,female,62,estonian,Isamaa,1,0
674,female,61,estonian,Reform,1,0
675,male,42,estonian,Isamaa,1,0
676,female,30,estonian,Isamaa,1,1
677,female,45,other,EKRE,1,1
678,female,36,estonian,SDE,0,0
679,female,57,estonian,EKRE,1,1
680,female,43,other,SDE,0,0
681,male,77,estonian,Isamaa,1,0
682,male,54,other,Keskerakond,0,1
683,female,63,estonian,Isamaa,1,1
684,male,34,estonian,Keskerakond,1,1
685,female,66,estonian,Reform,0,0
686,female,70,estonian,E200,0,0
687,male,48,estonian,EKRE,1,1
688,male,53,estonian,Isamaa,1,0
689,female,60,estonian,Isamaa,1,1
690,female,36,estonian,SDE,0,1
691,female,49,estonian,Reform,0,0
692,male,45,estonian,Keskerakond,1,1
693,female,34,estonian,Isamaa,1,1
694,female,44,other,EKRE,1,1
695,female,29,estonian,Isamaa,1,0
696,male,25,estonian,Parempoolsed,0,0
697,female,34,other,Keskerakond,1,0
698,female,75,estonian,E200,1,0
699,male,51,estonian,Isamaa,1,1
700,female,75,other,Reform,0,0
701,female,46,other,Keskerakond,1,1
702,male,42,estonian,EKRE,1,1
703,female,49,estonian,SDE,0,0
704,male,47,estonian,Parempoolsed,1,0
705,male,32,estonian,SDE,0,0
706,female,54,other,Keskerakond,0,1
707,female,38,estonian,Isamaa,1,0
708,female,53,estonian,Isamaa,1,0
709,female,55,estonian,Parempoolsed,1,0
710,male,35,estonian,Isamaa,1,0
711,female,28,estonian,Keskerakond,0,0
712,male,61,estonian,Keskerakond,1,1
713,female,47,other,Keskerakond,0,1
714,female,28,estonian,Parempoolsed,0,0
715,female,81,other,EKRE,1,1
716,male,28,estonian,EKRE,1,1
717,female,57,estonian,Isamaa,1,0
718,female,78,estonian,EKRE,1,1
719,female,39,other,Isamaa,1,0
720,female,34,estonian,EKRE,1,0
721,male,33,other,SDE,0,0
722,female,42,estonian,E200,0,0
723,male,32,estonian,Isamaa,1,0
724,male,57,other,EKRE,1,1
725,male,29,estonian,E200,0,1
726,male,49,estonian,Isamaa,1,1
727,male,82,estonian,Isamaa,1,0
728,male,63,other,Isamaa,1,0
729,female,53,estonian,Reform,1,0
730,male,42,estonian,Isamaa,1,0
