,gender,county,direction,party_preference,education,status,ethnicity,ur,age_group2,Ion_Ceban,Igor_Dodon,Maia_Sandu,Ilan_Shor?,Irina_Vlah,Dorin_Recean,Igor_Grosu,Ion_Cicu,Alexandr_Stoianoglo,Renato_Usatii,Victoria_Furtuna,trust2_Vladimir_Putin,trust2_Volodymyr_Zelensky,trust2_Ursula_von_der_Leyen,trust2_Emanuel_Macron,trust2_Donald_Trump,trust2_EU,trust2_Russia,trust2_NATO,trust2_Romania,trust2_Ukraine,trust2_USA
10,Female,Rezina,Right direction,PAS (Igor Grosu),Higher education,Better,Moldovan,Urban,60+,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence
11,Female,Mun. Chișinău,Wrong direction,PDCM (Ion Chicu),Upper secondary education,Worse,Moldovan,Urban,50-59,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence
12,Male,Rîșcani,Wrong direction,PSRM (Igor Dodon),Higher education,Worse,Moldovan,Rural,60+,I have no confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,No answer,Some confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,No answer,A lot of confidence,Some confidence,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence
13,Female,Mun. Chișinău,Wrong direction,PRIM (Irina Vlah),Lower secondary education,Worse,Moldovan,Urban,15-19,Some confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,No answer,Some confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
14,Male,Hîncești,Wrong direction,Victorie (Ilan Sor),Lower secondary education,Much worse,Moldovan,Rural,40-49,Some confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,No answer,I have no confidence,No answer,Some confidence,Some confidence,No answer,A lot of confidence,I have no confidence,No answer,No answer,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
15,Male,Basarabeasca,Right direction,Undecided,Lower secondary education,About the same,Moldovan,Rural,40-49,A lot of confidence,I don't have much confidence,No answer,I have no confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence
16,Female,Mun. Bălți,Wrong direction,Undecided,Upper secondary education,About the same,Moldovan,Urban,60+,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,No answer,I don't have much confidence,I have no confidence,Some confidence,No answer,Some confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,No answer
17,Male,Leova,Right direction,PAS (Igor Grosu),Lower secondary education,Much worse,Moldovan,Rural,30-39,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,No answer,No answer,No answer,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,A lot of confidence,A lot of confidence,I have no confidence,I don't have much confidence,A lot of confidence,Some confidence,A lot of confidence
18,Female,Sîngerei,Right direction,PAS (Igor Grosu),Lower secondary education,Much worse,Moldovan,Rural,40-49,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,No answer,I don't have much confidence,Some confidence,A lot of confidence,I don't have much confidence,Some confidence,A lot of confidence,No answer,Some confidence
19,Male,Mun. Chișinău,Right direction,No party,Lower secondary education,Worse,Moldovan,Urban,15-19,Some confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,No answer,No answer,No answer,I don't have much confidence,A lot of confidence,No answer,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,No answer,I have no confidence,I have no confidence,I have no confidence
20,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Higher education,About the same,Moldovan,Urban,60+,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,A lot of confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,Some confidence,A lot of confidence,Some confidence,No answer
21,Female,Mun. Bălți,Right direction,Undecided,Upper secondary education,About the same,Moldovan,Urban,60+,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,No answer,I have no confidence,I have no confidence,No answer,A lot of confidence,No answer,Some confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,I have no confidence
22,Male,Telenești,Right direction,PAS (Igor Grosu),Post-secondary vocational education,Worse,Moldovan,Rural,20-29,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,A lot of confidence,A lot of confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
23,Female,Edineț,Right direction,Undecided,Upper secondary education,Better,Moldovan,Urban,30-39,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,A lot of confidence,No answer,Some confidence,I don't have much confidence,No answer,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
24,Female,UTA Găgăuzia,No answer,PAS (Igor Grosu),Upper secondary education,Better,Gagauz,Rural,60+,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,No answer,I have no confidence,No answer,Some confidence,Some confidence,Some confidence,Some confidence,No answer,Some confidence,I don't have much confidence,Some confidence
25,Female,Căușeni,Wrong direction,Other party,Lower secondary education,Much worse,Russian,Rural,60+,No answer,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
26,Male,Mun. Chișinău,Right direction,Undecided,Higher education,Much worse,Romanian,Urban,60+,I have no confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
27,Male,Ștefan Vodă,Right direction,PAS (Igor Grosu),Secondary vocational education,About the same,Moldovan,Rural,40-49,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,A lot of confidence,A lot of confidence
28,Female,Mun. Chișinău,Right direction,PSRM (Igor Dodon),Secondary vocational education,Worse,Moldovan,Urban,30-39,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,No answer,Some confidence,Some confidence,I don't have much confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,No answer,I don't have much confidence,I don't have much confidence,Some confidence
29,Male,Edineț,Wrong direction,Impreuna Electoral Bloc,Secondary vocational education,Much worse,Moldovan,Rural,20-29,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,I have no confidence
30,Female,Basarabeasca,Right direction,PN (Renato Usatii),Higher education,Much worse,Moldovan,Urban,20-29,No answer,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,No answer,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,I don't have much confidence
31,Male,Mun. Chișinău,Wrong direction,Victorie (Ilan Sor),Lower secondary education,Worse,Romanian,Urban,20-29,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence
32,Female,Mun. Chișinău,Wrong direction,PSRM (Igor Dodon),Higher education,Worse,Moldovan,Urban,60+,I don't have much confidence,I don't have much confidence,I have no confidence,No answer,A lot of confidence,I don't have much confidence,I have no confidence,Some confidence,No answer,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,No answer,I don't have much confidence,Some confidence,I have no confidence
33,Male,Cahul,Wrong direction,PSRM (Igor Dodon),Secondary vocational education,About the same,Moldovan,Rural,30-39,No answer,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
34,Female,Mun. Bălți,Wrong direction,PDCM (Ion Chicu),Without education,Much worse,Moldovan,Urban,60+,No answer,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,A lot of confidence,No answer,I have no confidence,No answer,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence
35,Female,Orhei,Wrong direction,PDCM (Ion Chicu),Lower secondary education,Much worse,Moldovan,Rural,60+,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,No answer,No answer,Some confidence,I don't have much confidence,Some confidence,No answer,A lot of confidence,Some confidence,No answer
36,Female,Cantemir,Wrong direction,Victorie (Ilan Sor),Higher education,Much worse,Bulgarian,Urban,30-39,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
37,Female,Mun. Bălți,Right direction,PAS (Igor Grosu),Upper secondary education,Better,Moldovan,Urban,40-49,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,No answer,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence
38,Female,Cahul,Wrong direction,Undecided,Lower secondary education,Much worse,Moldovan,Rural,50-59,No answer,Some confidence,I don't have much confidence,No answer,I don't have much confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
39,Female,Ocnița,Right direction,PAS (Igor Grosu),Lower secondary education,About the same,Moldovan,Rural,20-29,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,No answer,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence
40,Female,Mun. Chișinău,Wrong direction,No party,Secondary vocational education,Much worse,Moldovan,Urban,50-59,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence
41,Female,Orhei,Wrong direction,No party,Lower secondary education,Worse,Moldovan,Rural,30-39,Some confidence,I don't have much confidence,Some confidence,No answer,I have no confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence
42,Female,Ștefan Vodă,Wrong direction,Victorie (Ilan Sor),Without education,About the same,Ukrainian,Rural,60+,I don't have much confidence,Some confidence,I have no confidence,A lot of confidence,No answer,Some confidence,I have no confidence,Some confidence,No answer,No answer,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,I have no confidence,No answer
43,Female,Orhei,Right direction,Impreuna Electoral Bloc,Higher education,Worse,Moldovan,Rural,60+,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,No answer,I don't have much confidence
44,Male,Mun. Chișinău,Wrong direction,Undecided,Upper secondary education,Much better,Russian,Urban,40-49,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
45,Female,Rîșcani,Wrong direction,PSRM (Igor Dodon),Primary education,About the same,Ukrainian,Rural,60+,Some confidence,A lot of confidence,I have no confidence,No answer,Some confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence
46,Male,Rezina,Wrong direction,PN (Renato Usatii),Secondary vocational education,Much worse,Moldovan,Rural,50-59,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
47,Male,UTA Găgăuzia,Wrong direction,PSRM (Igor Dodon),Upper secondary education,Worse,Gagauz,Rural,60+,I have no confidence,Some confidence,I have no confidence,A lot of confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,No answer,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence
48,Female,Orhei,Right direction,No party,Lower secondary education,Worse,Moldovan,Rural,40-49,Some confidence,I don't have much confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,No answer,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence
49,Female,Mun. Chișinău,No answer,PCRM (Vladimir Voronin),Higher education,Worse,Moldovan,Urban,40-49,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
50,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Primary education,About the same,Moldovan,Urban,60+,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
51,Male,Florești,Wrong direction,PSRM (Igor Dodon),Lower secondary education,About the same,Moldovan,Rural,30-39,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,No answer,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,I don't have much confidence
52,Female,Sîngerei,No answer,PAS (Igor Grosu),Primary education,Worse,Moldovan,Rural,60+,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
53,Male,Mun. Chișinău,Right direction,PAS (Igor Grosu),Higher education,Better,Moldovan,Urban,30-39,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
54,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Post-secondary vocational education,Worse,Moldovan,Urban,50-59,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,No answer,No answer,A lot of confidence,No answer,Some confidence,Some confidence,Some confidence,I don't have much confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence
55,Female,Călărași,Wrong direction,PN (Renato Usatii),Upper secondary education,Much worse,Romanian,Rural,30-39,Some confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,No answer,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence
56,Male,Briceni,Wrong direction,PSRM (Igor Dodon),Higher education,Worse,Moldovan,Rural,20-29,Some confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,Some confidence,Some confidence,I don't have much confidence,A lot of confidence,No answer,A lot of confidence,I don't have much confidence,Some confidence
57,Male,Criuleni,Wrong direction,PAS (Igor Grosu),Secondary vocational education,About the same,Moldovan,Urban,60+,Some confidence,I don't have much confidence,I don't have much confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,Some confidence
58,Female,Ocnița,Wrong direction,Victorie (Ilan Sor),Without education,Much better,Russian,Urban,60+,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,A lot of confidence,Some confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
59,Male,Nisporeni,Wrong direction,PDCM (Ion Chicu),Post-secondary vocational education,Worse,Moldovan,Rural,50-59,Some confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,I have no confidence,No answer,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence
60,Male,UTA Găgăuzia,Wrong direction,MAN (Ion Ceban),Post-secondary vocational education,About the same,Gagauz,Rural,50-59,No answer,I don't have much confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,No answer,I have no confidence,No answer,I don't have much confidence,A lot of confidence,A lot of confidence,Some confidence,No answer,A lot of confidence,Some confidence,A lot of confidence
61,Male,Rîșcani,Wrong direction,Victorie (Ilan Sor),Lower secondary education,Worse,Moldovan,Rural,30-39,I don't have much confidence,Some confidence,I don't have much confidence,A lot of confidence,No answer,I have no confidence,I have no confidence,Some confidence,No answer,I don't have much confidence,No answer,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
62,Female,Mun. Chișinău,Wrong direction,PAS (Igor Grosu),Post-secondary vocational education,Worse,Moldovan,Urban,30-39,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence
63,Male,Mun. Chișinău,Right direction,PAS (Igor Grosu),Lower secondary education,Worse,Moldovan,Urban,60+,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence
64,Female,Briceni,Right direction,PDCM (Ion Chicu),Upper secondary education,About the same,Ukrainian,Urban,20-29,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,No answer,I have no confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,A lot of confidence
