,age_group,education,gender,nationality,urban_rural,electoral_district,citizen,ukraina,e-valimised,sündimus,kooselu,sisseränne,valitsus,riigikogu,ajakirjandus,party_preference,vote_power,interest
37,55-64,Higher education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Trust completely,Rather trust,Rather trust,SDE,Rather yes,Somewhat
38,65-74,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather yes,Somewhat
39,55-64,Higher education,Female,Estonian,Urban,Ida-Virumaa,True,Disagree,Disagree,Strongly disagree,Disagree,Agree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,A lot
40,35-44,Higher education,Female,Other,Rural,Ida-Virumaa,True,Strongly agree,Strongly agree,Strongly agree,Don't know,Don't know,Don't trust at all,Rather not trust,Don't trust at all,Keskerakond,Not at all,Somewhat
41,55-64,Higher education,Female,Other,Rural,Harju- ja Raplamaa,True,Strongly agree,Disagree,Strongly agree,Don't know,Strongly agree,Rather not trust,Rather trust,Rather trust,Keskerakond,Rather yes,A little
42,55-64,Secondary education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Strongly agree,Don't know,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Keskerakond,Rather not,Somewhat
43,45-54,Higher education,Male,Other,Urban,Harju- ja Raplamaa,True,Strongly agree,Strongly agree,Don't know,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,A lot
44,45-54,Secondary education,Male,Other,Rural,Harju- ja Raplamaa,True,Agree,Disagree,Agree,Strongly disagree,Don't know,Don't trust at all,Don't trust at all,Neither trust nor distrust,Keskerakond,Rather yes,A little
45,35-44,Basic education,Female,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Not at all,Somewhat
46,55-64,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather yes,A lot
47,45-54,Basic education,Male,Estonian,Urban,Tartu linn,True,Strongly disagree,Strongly disagree,Agree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,A lot
48,55-64,Basic education,Male,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather not,Somewhat
49,35-44,Basic education,Female,Estonian,Rural,Ida-Virumaa,True,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Definitely,Somewhat
50,45-54,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Agree,Disagree,Don't trust at all,Rather not trust,Rather trust,Isamaa,Definitely,Somewhat
51,35-44,Higher education,Female,Other,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Don't know,Don't trust at all,Don't trust at all,Don't trust at all,Undecided,Not at all,A little
52,35-44,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Rather trust,Trust completely,Trust completely,Reformierakond,Rather not,A lot
53,35-44,Higher education,Male,Estonian,Urban,Harju- ja Raplamaa,True,Agree,Strongly disagree,Strongly disagree,Don't know,Strongly disagree,Rather trust,Rather trust,Rather not trust,Parempoolsed,Rather yes,Somewhat
54,65-74,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Trust completely,Rather trust,Rather trust,Reformierakond,Definitely,Somewhat
55,55-64,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather trust,Rather trust,Isamaa,Rather not,A lot
56,25-34,Secondary education,Male,Other,Urban,Harju- ja Raplamaa,True,Don't know,Disagree,Disagree,Agree,Agree,Rather not trust,Rather trust,Rather trust,SDE,Rather yes,Somewhat
57,45-54,Secondary education,Female,Estonian,Urban,Lääne-Virumaa,True,Agree,Strongly disagree,Agree,Strongly agree,Don't know,Rather trust,Rather trust,Rather trust,Reformierakond,Rather yes,Somewhat
58,75+,Higher education,Female,Estonian,Rural,Lääne-Virumaa,True,Agree,Strongly disagree,Agree,Agree,Strongly agree,Rather trust,Rather not trust,Don't trust at all,Undecided,Not at all,A little
59,45-54,Higher education,Male,Estonian,,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,A little
60,35-44,Secondary education,Male,Other,Urban,Tartu linn,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Don't know,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,Somewhat
61,25-34,Higher education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Rather not trust,Rather not trust,Rather not trust,Keskerakond,Not at all,Somewhat
62,25-34,Higher education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Don't know,Don't know,Don't know,Don't know,Don't know,Don't trust at all,Don't trust at all,Rather not trust,Keskerakond,Not at all,A little
63,55-64,Basic education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Don't know,Strongly disagree,Strongly agree,Strongly agree,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Isamaa,Rather yes,A little
64,35-44,Basic education,Male,Estonian,Rural,Ida-Virumaa,True,Agree,Disagree,Agree,Strongly agree,Agree,Rather trust,Rather trust,Rather trust,SDE,Rather not,A little
65,35-44,Basic education,Female,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Rather not trust,Don't trust at all,Rather not trust,Keskerakond,Rather not,A little
66,25-34,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Rather not trust,Rather not trust,Rather trust,Eesti 200,Not at all,A lot
67,35-44,Secondary education,Male,Estonian,Rural,Pärnumaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather not trust,Rather not trust,Rather trust,Eesti 200,Not at all,A lot
68,35-44,Higher education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Disagree,Strongly agree,Agree,Disagree,Rather not trust,Rather not trust,Rather not trust,Keskerakond,Rather not,Somewhat
69,35-44,Basic education,Female,Estonian,Urban,Tartu linn,True,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,A little
70,45-54,Basic education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather not,A lot
71,45-54,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly agree,Disagree,Don't know,Don't know,Don't trust at all,Don't trust at all,Rather trust,Parempoolsed,Rather not,Somewhat
72,25-34,Basic education,Female,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Isamaa,Not at all,A lot
73,55-64,Basic education,Female,Other,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Rather trust,Don't trust at all,Rather trust,EKRE,Rather yes,A lot
74,25-34,Higher education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather not,Somewhat
75,55-64,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Agree,Disagree,Rather trust,Rather trust,Rather trust,Reformierakond,Definitely,A lot
76,35-44,Higher education,Male,Other,Rural,Harju- ja Raplamaa,True,Agree,Disagree,Strongly agree,Disagree,Agree,Don't trust at all,Rather not trust,Rather not trust,Isamaa,Rather yes,Somewhat
77,45-54,Basic education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Strongly agree,Agree,Agree,Strongly agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather not,Somewhat
78,55-64,Higher education,Male,Other,Rural,Ida-Virumaa,True,Agree,Strongly agree,Strongly agree,Agree,Agree,Rather not trust,Rather not trust,Rather trust,Keskerakond,Rather yes,Somewhat
79,45-54,Higher education,Female,Other,Small town,Harju- ja Raplamaa,True,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Rather trust,Rather trust,Rather trust,Isamaa,Rather not,Somewhat
80,75+,Higher education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Rather not trust,Rather not trust,Don't trust at all,Keskerakond,Rather not,Somewhat
81,65-74,Secondary education,Male,Estonian,Urban,Tartu linn,True,Strongly agree,Disagree,Strongly agree,Agree,Agree,Rather trust,Rather trust,Rather trust,Keskerakond,Rather yes,Somewhat
82,55-64,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,A lot
83,65-74,Basic education,Female,Estonian,Urban,Tartu linn,True,Don't know,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Rather not,A little
84,75+,Higher education,Female,Estonian,Rural,Ida-Virumaa,True,Strongly agree,Agree,Agree,Agree,Strongly agree,Rather not trust,Rather not trust,Rather trust,Parempoolsed,Rather not,A lot
85,45-54,Higher education,Male,Other,Small town,Harju- ja Raplamaa,True,Don't know,Disagree,Disagree,Agree,Don't know,Rather trust,Rather trust,Rather trust,SDE,Rather yes,Somewhat
86,65-74,Higher education,Female,Estonian,Rural,Ida-Virumaa,True,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,Undecided,Not at all,Somewhat
87,75+,Higher education,Female,Estonian,Rural,Pärnumaa,True,Disagree,Disagree,Agree,Disagree,Agree,Neither trust nor distrust,Neither trust nor distrust,Rather trust,Isamaa,Rather not,A lot
88,65-74,Higher education,Male,Other,Rural,Harju- ja Raplamaa,True,Don't know,Don't know,Don't know,Don't know,Don't know,Rather not trust,Rather not trust,Rather trust,SDE,Rather yes,Somewhat
89,25-34,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Don't trust at all,EKRE,Rather not,A lot
90,65-74,Higher education,Male,Estonian,Rural,Ida-Virumaa,True,Disagree,Strongly agree,Agree,Agree,Agree,Don't trust at all,Rather not trust,Rather not trust,Keskerakond,Rather not,A lot
91,45-54,Higher education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Agree,Disagree,Strongly disagree,Agree,Rather not trust,Rather not trust,Rather not trust,No party,Not at all,A lot
92,18-24,Basic education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Rather not trust,Rather not trust,Rather not trust,SDE,Definitely,Somewhat
93,25-34,Basic education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Isamaa,Not at all,A little
94,25-34,Higher education,Female,Other,Small town,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Rather trust,Rather trust,Rather not trust,Reformierakond,Definitely,A lot
95,55-64,Higher education,Female,Other,Rural,Ida-Virumaa,True,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Definitely,A lot
96,18-24,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Agree,Agree,Agree,Agree,Rather trust,Rather trust,Rather trust,Eesti 200,Rather yes,Somewhat
97,25-34,Higher education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Agree,Agree,Don't know,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather not,A lot
98,35-44,Higher education,Female,Estonian,Small town,"Võru-, Valga- ja Põlvamaa",True,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Rather trust,Rather not trust,Rather trust,SDE,Rather yes,Somewhat
99,65-74,Higher education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather not,A lot
100,55-64,Higher education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Don't trust at all,Don't trust at all,Rather trust,Undecided,Not at all,Somewhat
101,65-74,Basic education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather trust,Parempoolsed,Not at all,A lot
102,55-64,Secondary education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather trust,Rather trust,EKRE,Definitely,Somewhat
103,45-54,Higher education,Male,Other,Urban,Tartu linn,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,Undecided,Not at all,Somewhat
104,35-44,Basic education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Agree,Agree,Agree,Rather not trust,Rather trust,Rather trust,Isamaa,Rather yes,A lot
105,45-54,Higher education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Undecided,Not at all,Almost not at all
106,18-24,Basic education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Don't know,Disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Neither trust nor distrust,SDE,Rather not,Somewhat
107,35-44,Higher education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly disagree,Agree,Strongly agree,Disagree,Rather not trust,Rather not trust,Rather not trust,No party,Not at all,A little
108,55-64,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Disagree,Agree,Agree,Disagree,Rather trust,Rather trust,Rather trust,Eesti 200,Rather yes,A lot
109,75+,Secondary education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Don't trust at all,Don't trust at all,Rather not trust,Keskerakond,Not at all,A lot
110,25-34,Basic education,Female,Other,Tallinn,Mustamäe ja Nõmme,True,Agree,Strongly agree,Agree,Don't know,Agree,Rather not trust,Rather not trust,Don't trust at all,No party,Not at all,Almost not at all
111,45-54,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Disagree,Disagree,Don't know,Agree,Rather trust,Rather trust,Rather not trust,Keskerakond,Rather yes,Almost not at all
112,35-44,Basic education,Male,Estonian,Urban,"Võru-, Valga- ja Põlvamaa",True,Agree,Strongly agree,Agree,Strongly disagree,Agree,Rather not trust,Rather not trust,Rather trust,SDE,Rather yes,A little
113,45-54,Higher education,Male,Estonian,Rural,Pärnumaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Trust completely,Rather trust,Rather trust,Reformierakond,Rather not,Somewhat
114,55-64,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Trust completely,Trust completely,Don't trust at all,Reformierakond,Definitely,A lot
115,25-34,Basic education,Female,Estonian,Urban,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Rather not,A little
116,35-44,Basic education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Strongly disagree,Don't know,Don't know,Don't know,Don't know,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Undecided,Rather not,A little
117,25-34,Higher education,Female,Other,Rural,Harju- ja Raplamaa,True,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Don't trust at all,Rather not trust,Don't trust at all,Keskerakond,Rather not,A little
118,35-44,Secondary education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Disagree,Strongly disagree,Agree,Agree,Rather not trust,Rather not trust,Rather trust,Undecided,Rather yes,A lot
119,35-44,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,SDE,Rather not,Somewhat
120,35-44,Higher education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,A lot
121,25-34,Basic education,Female,Other,Tallinn,Mustamäe ja Nõmme,True,Agree,Agree,Agree,Disagree,Agree,Rather trust,Rather trust,Rather trust,SDE,Rather not,A lot
122,18-24,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather yes,Somewhat
123,55-64,Basic education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Rather not trust,Don't trust at all,Rather not trust,SDE,Rather not,Almost not at all
124,45-54,Basic education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Strongly agree,Strongly disagree,Don't know,Agree,Rather not trust,Rather not trust,Rather not trust,Undecided,Rather not,Almost not at all
125,45-54,Basic education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Don't know,Agree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Don't trust at all,EKRE,Rather yes,A lot
126,45-54,Secondary education,Male,Other,Rural,Harju- ja Raplamaa,True,Strongly agree,Agree,Strongly agree,Agree,Agree,Rather not trust,Rather not trust,Rather trust,Other,Rather yes,Somewhat
127,45-54,Secondary education,Male,Other,Rural,Lääne-Virumaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Not at all,A lot
